"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T01_S03_001","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(6\) and \(10\), and height \(5\)?","\(40\)","\(30\)","\(21\)","\(80\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_002","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(7\) and \(11\), and height \(6\)?","\(38\)","\(54\)","\(24\)","\(108\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_003","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(8\) and \(12\), and height \(7\)?","\(48\)","\(27\)","\(70\)","\(140\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_004","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(9\) and \(13\), and height \(8\)?","\(58\)","\(30\)","\(176\)","\(88\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_005","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(10\) and \(14\), and height \(9\)?","\(108\)","\(70\)","\(33\)","\(216\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_006","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(11\) and \(15\), and height \(5\)?","\(82\)","\(65\)","\(31\)","\(130\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_007","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(6\) and \(10\), and height \(6\)?","\(30\)","\(22\)","\(48\)","\(96\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_008","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(7\) and \(11\), and height \(7\)?","\(38\)","\(25\)","\(126\)","\(63\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_009","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(8\) and \(12\), and height \(8\)?","\(80\)","\(48\)","\(28\)","\(160\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_010","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Medium","MCQ","What is the area of a trapezium with parallel sides \(9\) and \(13\), and height \(9\)?","\(58\)","\(99\)","\(31\)","\(198\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_011","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(10\) and \(14\), and height \(5\)?","\(70\)","\(29\)","\(60\)","\(120\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_012","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(11\) and \(15\), and height \(6\)?","\(82\)","\(32\)","\(156\)","\(78\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_013","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(6\) and \(10\), and height \(7\)?","\(56\)","\(30\)","\(23\)","\(112\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_014","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(7\) and \(11\), and height \(8\)?","\(38\)","\(72\)","\(26\)","\(144\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_015","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(8\) and \(12\), and height \(9\)?","\(48\)","\(29\)","\(90\)","\(180\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_016","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(9\) and \(13\), and height \(5\)?","\(58\)","\(27\)","\(110\)","\(55\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_017","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(10\) and \(14\), and height \(6\)?","\(72\)","\(70\)","\(30\)","\(144\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_018","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(11\) and \(15\), and height \(7\)?","\(82\)","\(91\)","\(33\)","\(182\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_019","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(6\) and \(10\), and height \(8\)?","\(30\)","\(24\)","\(64\)","\(128\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_020","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(7\) and \(11\), and height \(9\)?","\(38\)","\(27\)","\(162\)","\(81\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_021","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(8\) and \(12\), and height \(5\)?","\(50\)","\(48\)","\(25\)","\(100\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_022","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(9\) and \(13\), and height \(6\)?","\(58\)","\(66\)","\(28\)","\(132\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_023","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(10\) and \(14\), and height \(7\)?","\(70\)","\(31\)","\(84\)","\(168\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_024","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Hard","MCQ","What is the area of a trapezium with parallel sides \(11\) and \(15\), and height \(8\)?","\(82\)","\(34\)","\(208\)","\(104\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_025","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(6\) and \(10\), and height \(9\)?","\(72\)","\(30\)","\(25\)","\(144\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_026","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(7\) and \(11\), and height \(5\)?","\(38\)","\(45\)","\(23\)","\(90\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_027","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(8\) and \(12\), and height \(6\)?","\(48\)","\(26\)","\(60\)","\(120\)","C","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_028","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(9\) and \(13\), and height \(7\)?","\(58\)","\(29\)","\(154\)","\(77\)","D","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_029","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(10\) and \(14\), and height \(8\)?","\(96\)","\(70\)","\(32\)","\(192\)","A","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
"QB_A05_T01_S03_030","A05","Measurement","A05_T01","Area","A05_T01_S03","Area of a trapezium","5.1.3","Advanced","MCQ","What is the area of a trapezium with parallel sides \(11\) and \(15\), and height \(9\)?","\(82\)","\(117\)","\(35\)","\(234\)","B","Use \(A=\frac{1}{2}(a+b)h\).","measurement;area;trapezium","approved_hierarchy_v1"
