"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S01_001","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","A","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_002","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","B","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_003","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","C","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_004","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","D","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_005","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","A","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_006","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","B","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_007","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","C","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_008","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","D","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_009","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","A","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
"QB_A06_T01_S01_010","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S01","Trigonometric ratios","6.1.1","Medium","MCQ","Which ratio equals \(\sin \theta\) in a right-angled triangle?","\(\frac{\text{adjacent}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{hypotenuse}}\)","\(\frac{\text{opposite}}{\text{adjacent}}\)","\(\frac{\text{hypotenuse}}{\text{opposite}}\)","B","Sine is opposite over hypotenuse.","trigonometry;trigonometric;ratios","approved_hierarchy_v1"
