"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S02_001","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They lie on the same straight line","They are all equal distances from the origin","They lie on different planes","They form a right angle","A","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_002","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that two lines are coplanar?","They must be parallel","They lie in the same plane","They must intersect at right angles","They must have equal length","B","Coplanar objects lie in the same plane.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_003","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They are all equal distances from the origin","They lie on different planes","They lie on the same straight line","They form a right angle","C","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_004","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that two lines are coplanar?","They must be parallel","They must intersect at right angles","They must have equal length","They lie in the same plane","D","Coplanar objects lie in the same plane.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_005","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They lie on the same straight line","They are all equal distances from the origin","They lie on different planes","They form a right angle","A","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_006","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They are all equal distances from the origin","They lie on the same straight line","They lie on different planes","They form a right angle","B","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_007","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that two lines are coplanar?","They must be parallel","They must intersect at right angles","They lie in the same plane","They must have equal length","C","Coplanar objects lie in the same plane.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_008","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They are all equal distances from the origin","They lie on different planes","They form a right angle","They lie on the same straight line","D","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_009","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that two lines are coplanar?","They lie in the same plane","They must be parallel","They must intersect at right angles","They must have equal length","A","Coplanar objects lie in the same plane.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
"QB_A02_T07_S02_010","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S02","To identify collinear points, coplanar lines and points in 2 and 3 dimensions","2.7.2","Medium","MCQ","Which description means that three points are collinear?","They are all equal distances from the origin","They lie on the same straight line","They lie on different planes","They form a right angle","B","Collinear points lie on one straight line.","geometry;geometric;constructions;general;identify;collinear;points;coplanar;lines;construction","approved_hierarchy_v1"
