"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T01_S03_001","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(30^\circ\) and \(15^\circ\), what is \(m\angle AOC\)?","\(45^\circ\)","\(15^\circ\)","\(135^\circ\)","\(55^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_002","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(36^\circ\) and \(20^\circ\), what is \(m\angle AOC\)?","\(16^\circ\)","\(56^\circ\)","\(124^\circ\)","\(66^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_003","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(42^\circ\) and \(25^\circ\), what is \(m\angle AOC\)?","\(17^\circ\)","\(113^\circ\)","\(67^\circ\)","\(77^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_004","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(48^\circ\) and \(30^\circ\), what is \(m\angle AOC\)?","\(18^\circ\)","\(102^\circ\)","\(88^\circ\)","\(78^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_005","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(54^\circ\) and \(35^\circ\), what is \(m\angle AOC\)?","\(89^\circ\)","\(19^\circ\)","\(91^\circ\)","\(99^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_006","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(60^\circ\) and \(40^\circ\), what is \(m\angle AOC\)?","\(20^\circ\)","\(100^\circ\)","\(80^\circ\)","\(110^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_007","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(66^\circ\) and \(45^\circ\), what is \(m\angle AOC\)?","\(21^\circ\)","\(69^\circ\)","\(111^\circ\)","\(121^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_008","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(72^\circ\) and \(50^\circ\), what is \(m\angle AOC\)?","\(22^\circ\)","\(58^\circ\)","\(132^\circ\)","\(122^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_009","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(78^\circ\) and \(15^\circ\), what is \(m\angle AOC\)?","\(93^\circ\)","\(63^\circ\)","\(87^\circ\)","\(103^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_010","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Medium","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(84^\circ\) and \(20^\circ\), what is \(m\angle AOC\)?","\(64^\circ\)","\(104^\circ\)","\(76^\circ\)","\(114^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
