"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A01_T01_S01_001","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","A student records the first five terms of a sequence as \(4, 7, 12, 19, 28\). Which conjecture is best supported by the pattern?","\(a_n = n^2 + 3\)","\(a_n = 3n + 1\)","\(a_n = 2^n + 2\)","\(a_n = n^2 + n\)","A","The first differences are \(3, 5, 7, 9\), which suggests a quadratic pattern, and \(a_n = n^2 + 3\) matches all five terms.","logic;reasoning;inductive;deductive;sequence;pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_002","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","All integers divisible by \(6\) are even. \(n\) is divisible by \(6\). Which conclusion follows deductively?","\(n\) is even","\(n\) is divisible by \(12\)","\(n\) is positive","\(n\) is prime","A","The conclusion \(n\) is even follows directly from the general statement and the given case.","logic;reasoning;inductive;deductive;divisibility;syllogism","approved_hierarchy_v1"
"QB_A01_T01_S01_003","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","A student checks right-angled triangles with side lengths \(3, 4, 5\), \(5, 12, 13\), and \(8, 15, 17\) and concludes that every right-angled triangle has integer side lengths. Which is the best evaluation?","It is a valid deduction from the definition of a right-angled triangle","It is an inductive conjecture based on a limited sample","It is a theorem because three examples are sufficient","It is a contradiction","B","The student generalized from several examples, so the reasoning is inductive and does not establish the claim for all right-angled triangles.","logic;reasoning;inductive;deductive;generalisation;geometry","approved_hierarchy_v1"
"QB_A01_T01_S01_004","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","If a quadrilateral is a square, then it has four right angles. Shape \(P\) has four right angles. Which conclusion is logically justified?","Shape \(P\) is a square","Shape \(P\) is not a square","No conclusion that Shape \(P\) is a square follows from the information given","Shape \(P\) has four equal sides","C","The argument reverses the original conditional. Having four right angles is necessary for a square, but it is not sufficient.","logic;reasoning;inductive;deductive;conditional;converse","approved_hierarchy_v1"
"QB_A01_T01_S01_005","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","For \(n = 1, 2, 3, 4\), the value of \(n^2 - n\) is even. A student concludes that \(n^2 - n\) is even for all positive integers. Why is this not yet a deductive proof?","Because \(n^2 - n\) becomes odd when \(n = 5\)","Because checking a finite number of cases gives inductive evidence only","Because the values should be checked in reverse order","Because quadratic expressions cannot produce even numbers","B","A finite list of examples can suggest a rule, but it cannot prove a statement for every positive integer.","logic;reasoning;inductive;deductive;algebra;proof-awareness","approved_hierarchy_v1"
"QB_A01_T01_S01_006","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","All rational numbers can be written as fractions of integers. Every terminating decimal is rational. \(0.125\) is a terminating decimal. Which conclusion follows deductively?","\(0.125\) can be written as a fraction of integers","\(0.125\) is irrational","Every fraction of integers is a terminating decimal","\(0.125\) is an integer","A","The reasoning uses two linked statements: terminating decimal \(\rightarrow\) rational, and rational \(\rightarrow\) fraction of integers.","logic;reasoning;inductive;deductive;number;classification","approved_hierarchy_v1"
"QB_A01_T01_S01_007","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student notes that the interior angle sums of a triangle, quadrilateral, pentagon, and hexagon are \(180^\circ, 360^\circ, 540^\circ,\) and \(720^\circ\). The student then claims that the sum of the interior angles of an \(n\)-gon is \(180n^\circ\). Which response is best?","The claim is deductively proven because the increase is constant","The claim is an inductive guess, but the pattern actually supports \(180(n - 2)^\circ\)","The claim must be correct because four cases fit","The claim is false because interior angle sums do not increase","B","The data suggest a pattern, but the proposed formula is wrong. For \(n = 3, 4, 5, 6\), the correct rule is \(180(n - 2)^\circ\).","logic;reasoning;inductive;deductive;geometry;pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_008","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","Which argument is a deductive proof that if \(n\) is divisible by \(4\), then \(n^2\) is divisible by \(16\)?","Check \(n = 4, 8, 12\) and observe that each square is divisible by \(16\)","Let \(n = 4k\) for some integer \(k\). Then \(n^2 = 16k^2\), so \(n^2\) is divisible by \(16\)","Draw several squares on grid paper and compare their areas","Note that many multiples of \(4\) are also multiples of \(8\)","B","A deductive proof must use a general argument. Writing \(n = 4k\) covers every multiple of \(4\) at once.","logic;reasoning;inductive;deductive;algebra;divisibility;general-argument","approved_hierarchy_v1"
"QB_A01_T01_S01_009","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A class measures the exterior angle sums of a regular triangle, square, pentagon, and hexagon and obtains \(360^\circ\) each time. Which statement best describes the conclusion that every convex polygon has exterior angle sum \(360^\circ\)?","It is deductively established by measurement alone","It is an inductive conclusion that still requires proof","It is false because regular polygons are special cases","It is meaningless because angle sums cannot be compared","B","Repeated measurement can strongly suggest a result, but measurement alone is still inductive evidence rather than proof.","logic;reasoning;inductive;deductive;geometry;measurement","approved_hierarchy_v1"
"QB_A01_T01_S01_010","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","Suppose the following statements are true: 1. If a number is divisible by \(10\), then it is divisible by \(5\). 2. If a number is divisible by \(5\), then its square is divisible by \(25\). 3. \(n\) is divisible by \(10\). Which conclusion follows deductively?","\(n^2\) is divisible by \(25\)","\(n\) is divisible by \(25\)","\(n^2\) is divisible by \(10\)","\(n\) is even and prime","A","From statement 3, \(n\) is divisible by \(5\). Then statement 2 gives that \(n^2\) is divisible by \(25\).","logic;reasoning;inductive;deductive;multi-step;divisibility","approved_hierarchy_v1"
