"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T03_S06_001","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -3x + 2=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-(-3) \pm \sqrt{1}}{2}\)","\(x=\frac{-3 \pm \sqrt{1}}{2}\)","\(x=\frac{--3 \pm \sqrt{1}}{1}\)","\(x=\frac{--3 \pm 1}{2}\)","A","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_002","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -4x + 3=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-4 \pm \sqrt{4}}{2}\)","\(x=\frac{-(-4) \pm \sqrt{4}}{2}\)","\(x=\frac{--4 \pm \sqrt{4}}{1}\)","\(x=\frac{--4 \pm 4}{2}\)","B","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_003","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -5x + 4=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-5 \pm \sqrt{9}}{2}\)","\(x=\frac{--5 \pm \sqrt{9}}{1}\)","\(x=\frac{-(-5) \pm \sqrt{9}}{2}\)","\(x=\frac{--5 \pm 9}{2}\)","C","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_004","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -6x + 2=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-6 \pm \sqrt{28}}{2}\)","\(x=\frac{--6 \pm \sqrt{28}}{1}\)","\(x=\frac{--6 \pm 28}{2}\)","\(x=\frac{-(-6) \pm \sqrt{28}}{2}\)","D","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_005","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -3x + 3=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-(-3) \pm \sqrt{-3}}{2}\)","\(x=\frac{-3 \pm \sqrt{-3}}{2}\)","\(x=\frac{--3 \pm \sqrt{-3}}{1}\)","\(x=\frac{--3 \pm -3}{2}\)","A","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_006","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -4x + 4=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-4 \pm \sqrt{0}}{2}\)","\(x=\frac{-(-4) \pm \sqrt{0}}{2}\)","\(x=\frac{--4 \pm \sqrt{0}}{1}\)","\(x=\frac{--4 \pm 0}{2}\)","B","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_007","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -5x + 2=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-5 \pm \sqrt{17}}{2}\)","\(x=\frac{--5 \pm \sqrt{17}}{1}\)","\(x=\frac{-(-5) \pm \sqrt{17}}{2}\)","\(x=\frac{--5 \pm 17}{2}\)","C","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_008","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -6x + 3=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-6 \pm \sqrt{24}}{2}\)","\(x=\frac{--6 \pm \sqrt{24}}{1}\)","\(x=\frac{--6 \pm 24}{2}\)","\(x=\frac{-(-6) \pm \sqrt{24}}{2}\)","D","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_009","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -3x + 4=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-(-3) \pm \sqrt{-7}}{2}\)","\(x=\frac{-3 \pm \sqrt{-7}}{2}\)","\(x=\frac{--3 \pm \sqrt{-7}}{1}\)","\(x=\frac{--3 \pm -7}{2}\)","A","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
"QB_A03_T03_S06_010","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S06","The quadratic formula","3.3.6","Medium","MCQ","For \(x^2 -4x + 2=0\), which expression begins the quadratic-formula method correctly?","\(x=\frac{-4 \pm \sqrt{8}}{2}\)","\(x=\frac{-(-4) \pm \sqrt{8}}{2}\)","\(x=\frac{--4 \pm \sqrt{8}}{1}\)","\(x=\frac{--4 \pm 8}{2}\)","B","Use \(x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}\).","algebra;quadratic;equations;formula","approved_hierarchy_v1"
