"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T02_S04_001","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test is established when all three corresponding sides of two triangles are equal?","SSS","SAS","ASA","RHS","A","Three equal corresponding sides establish congruence by SSS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_002","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test uses two corresponding sides and the included angle?","SSS","SAS","ASA","AAS","B","Two sides and the included angle establish congruence by SAS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_003","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test is established when all three corresponding sides of two triangles are equal?","SAS","ASA","SSS","RHS","C","Three equal corresponding sides establish congruence by SSS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_004","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test uses two corresponding sides and the included angle?","SSS","ASA","AAS","SAS","D","Two sides and the included angle establish congruence by SAS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_005","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test is established when all three corresponding sides of two triangles are equal?","SSS","SAS","ASA","RHS","A","Three equal corresponding sides establish congruence by SSS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_006","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test uses two corresponding sides and the included angle?","SSS","SAS","ASA","AAS","B","Two sides and the included angle establish congruence by SAS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_007","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test is established when all three corresponding sides of two triangles are equal?","SAS","ASA","SSS","RHS","C","Three equal corresponding sides establish congruence by SSS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_008","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test uses two corresponding sides and the included angle?","SSS","ASA","AAS","SAS","D","Two sides and the included angle establish congruence by SAS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_009","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test is established when all three corresponding sides of two triangles are equal?","SSS","SAS","ASA","RHS","A","Three equal corresponding sides establish congruence by SSS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
"QB_A02_T02_S04_010","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S04","Congruent triangles, Test 1 and 2","2.2.4","Medium","MCQ","Which congruence test uses two corresponding sides and the included angle?","SSS","SAS","ASA","AAS","B","Two sides and the included angle establish congruence by SAS.","geometry;triangles;congruence;congruent;test;1;2","approved_hierarchy_v1"
