"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S01_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(\sqrt{2}\)","\(3\)","\(5\)","\(12\)","A","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(\sqrt{3}\)","\(5\)","\(12\)","B","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(5\)","\(\sqrt{5}\)","\(12\)","C","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(5\)","\(12\)","\(\sqrt{7}\)","D","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(\sqrt{8}\)","\(3\)","\(5\)","\(12\)","A","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(\sqrt{10}\)","\(5\)","\(12\)","B","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(5\)","\(\sqrt{2}\)","\(12\)","C","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(5\)","\(12\)","\(\sqrt{3}\)","D","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(\sqrt{5}\)","\(3\)","\(5\)","\(12\)","A","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
"QB_A04_T01_S01_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S01","Introducing surds","4.1.1","Medium","MCQ","Which expression is a surd?","\(3\)","\(\sqrt{7}\)","\(5\)","\(12\)","B","A surd is an irrational root left in exact form, such as \(\sqrt{2}\).","numbers;surds;introducing;definition","approved_hierarchy_v1"
