"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S01_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((1,2)\) and \((3,5)\)?","\(\sqrt{13}\)","\(5\)","\(\sqrt{5}\)","\(13\)","A","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((2,3)\) and \((5,7)\)?","\(\sqrt{25}\)","\(5\)","\(7\)","\(25\)","B","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((3,4)\) and \((7,9)\)?","\(9\)","\(\sqrt{9}\)","\(\sqrt{41}\)","\(41\)","C","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((4,5)\) and \((9,11)\)?","\(11\)","\(\sqrt{11}\)","\(61\)","\(\sqrt{61}\)","D","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((5,6)\) and \((11,9)\)?","\(\sqrt{45}\)","\(9\)","\(\sqrt{27}\)","\(45\)","A","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((6,7)\) and \((8,11)\)?","\(6\)","\(\sqrt{20}\)","\(\sqrt{12}\)","\(20\)","B","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((1,8)\) and \((4,13)\)?","\(8\)","\(\sqrt{16}\)","\(\sqrt{34}\)","\(34\)","C","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((2,2)\) and \((6,8)\)?","\(10\)","\(\sqrt{20}\)","\(52\)","\(\sqrt{52}\)","D","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((3,3)\) and \((8,6)\)?","\(\sqrt{34}\)","\(8\)","\(\sqrt{16}\)","\(34\)","A","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Medium","MCQ","What is the distance between \((4,4)\) and \((10,8)\)?","\(10\)","\(\sqrt{52}\)","\(\sqrt{20}\)","\(52\)","B","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_011","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Hard","MCQ","What is the distance between \((5,5)\) and \((7,10)\)?","\(7\)","\(\sqrt{21}\)","\(\sqrt{29}\)","\(29\)","C","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_012","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Hard","MCQ","What is the distance between \((6,6)\) and \((9,12)\)?","\(9\)","\(\sqrt{27}\)","\(45\)","\(\sqrt{45}\)","D","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_013","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Hard","MCQ","What is the distance between \((1,7)\) and \((5,10)\)?","\(5\)","\(\sqrt{25}\)","\(7\)","\(25\)","A","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
"QB_A02_T04_S01_014","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S01","Distance formula","2.4.1","Hard","MCQ","What is the distance between \((2,8)\) and \((7,12)\)?","\(9\)","\(\sqrt{41}\)","\(\sqrt{9}\)","\(41\)","B","Use the distance formula \(d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}\).","geometry;coordinate;distance;formula","approved_hierarchy_v1"
