"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T01_S06_001","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{2} + 1 = 2\).","\(2\)","\(6\)","\(4\)","\(4\) ","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_002","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{3} + 2 = 3\).","\(15\)","\(3\)","\(6\)","\(6\) ","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_003","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{4} + 3 = 4\).","\(28\)","\(8\)","\(4\)","\(8\) ","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_004","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{5} + 4 = 5\).","\(45\)","\(10\)","\(10\) ","\(5\)","D","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_005","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{6} + 1 = 2\).","\(6\)","\(42\)","\(12\)","\(12\) ","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_006","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{2} + 2 = 11/2\).","\(18\)","\(7\)","\(9\)","\(5\)","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_007","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{3} + 3 = 17/3\).","\(33\)","\(11\)","\(8\)","\(5\)","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_008","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{4} + 4 = 25/4\).","\(52\)","\(13\)","\(5\)","\(9\)","D","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_009","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{5} + 1 = 3\).","\(10\)","\(55\)","\(15\)","\(5\)","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_010","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Medium","MCQ","Solve \(\frac{x}{6} + 2 = 23/6\).","\(78\)","\(11\)","\(17\)","\(5\)","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_011","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{2} + 3 = 4\).","\(10\)","\(4\)","\(2\)","\(4\) ","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_012","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{3} + 4 = 5\).","\(21\)","\(6\)","\(6\) ","\(3\)","D","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_013","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{4} + 1 = 2\).","\(4\)","\(20\)","\(8\)","\(8\) ","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_014","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{5} + 2 = 3\).","\(35\)","\(5\)","\(10\)","\(10\) ","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_015","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{6} + 3 = 4\).","\(54\)","\(12\)","\(6\)","\(12\) ","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_016","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{2} + 4 = 15/2\).","\(22\)","\(9\)","\(5\)","\(7\)","D","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_017","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{3} + 1 = 11/3\).","\(8\)","\(27\)","\(11\)","\(5\)","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_018","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{4} + 2 = 17/4\).","\(44\)","\(9\)","\(13\)","\(5\)","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_019","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{5} + 3 = 5\).","\(65\)","\(15\)","\(10\)","\(5\)","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_020","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{6} + 4 = 35/6\).","\(90\)","\(17\)","\(5\)","\(11\)","D","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_021","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{2} + 1 = 2\).","\(2\)","\(6\)","\(4\)","\(4\) ","A","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_022","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{3} + 2 = 3\).","\(15\)","\(3\)","\(6\)","\(6\) ","B","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
"QB_A03_T01_S06_023","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S06","Equations involving fractions","3.1.6","Hard","MCQ","Solve \(\frac{x}{4} + 3 = 4\).","\(28\)","\(8\)","\(4\)","\(8\) ","C","Subtract the constant term first, then multiply by the denominator.","algebra;algebraic;equations;involving;fractions;equation","approved_hierarchy_v1"
