"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S05_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(2\) and intercept \(-3\)?","\(y=2x-3\)","\(x=2y-3\)","\(y=-3x+2\)","\(y=2+-3x\)","A","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(3\) and intercept \(-2\)?","\(x=3y-2\)","\(y=3x-2\)","\(y=-2x+3\)","\(y=3+-2x\)","B","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(4\) and intercept \(-1\)?","\(x=4y-1\)","\(y=-1x+4\)","\(y=4x-1\)","\(y=4+-1x\)","C","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(5\) and intercept \(0\)?","\(x=5y+0\)","\(y=0x+5\)","\(y=5+0x\)","\(y=5x+0\)","D","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(6\) and intercept \(1\)?","\(y=6x+1\)","\(x=6y+1\)","\(y=1x+6\)","\(y=6+1x\)","A","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(2\) and intercept \(2\)?","\(x=2y+2\)","\(y=2x+2\)","\(y=2x+2\) ","\(y=2+2x\)","B","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(3\) and intercept \(3\)?","\(x=3y+3\)","\(y=3x+3\) ","\(y=3x+3\)","\(y=3+3x\)","C","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(4\) and intercept \(-3\)?","\(x=4y-3\)","\(y=-3x+4\)","\(y=4+-3x\)","\(y=4x-3\)","D","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(5\) and intercept \(-2\)?","\(y=5x-2\)","\(x=5y-2\)","\(y=-2x+5\)","\(y=5+-2x\)","A","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
"QB_A02_T04_S05_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S05","The straight line","2.4.5","Medium","MCQ","Which equation is in the form of a straight line with gradient \(6\) and intercept \(-1\)?","\(x=6y-1\)","\(y=6x-1\)","\(y=-1x+6\)","\(y=6+-1x\)","B","A straight line in slope-intercept form is written as \(y=mx+c\).","geometry;coordinate;straight;line","approved_hierarchy_v1"
