"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A01_T01_S05_001","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a quadrilateral is a square, then it has four right angles.', which option is the converse?","If A quadrilateral has four right angles, then a quadrilateral is a square.","If not a quadrilateral is a square, then not a quadrilateral has four right angles.","If not a quadrilateral has four right angles, then not a quadrilateral is a square.","If a quadrilateral is a square, then it has four right angles.","A","The converse swaps the hypothesis and conclusion.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_002","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a number is divisible by \(6\), then it is divisible by \(3\).', which option is the inverse?","If A number is divisible by \(3\), then a number is divisible by \(6\).","If not a number is divisible by \(6\), then not a number is divisible by \(3\).","If not a number is divisible by \(3\), then not a number is divisible by \(6\).","If a number is divisible by \(6\), then it is divisible by \(3\).","B","The inverse negates both parts without reversing them.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_003","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a triangle is equilateral, then it is isosceles.', which option is the contrapositive?","If A triangle is isosceles, then a triangle is equilateral.","If not a triangle is equilateral, then not a triangle is isosceles.","If not a triangle is isosceles, then not a triangle is equilateral.","If a triangle is equilateral, then it is isosceles.","C","The contrapositive both reverses and negates the original statement.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_004","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Which statement is logically equivalent to 'If a point lies on the perpendicular bisector of a segment, then it is equidistant from the endpoints.'?","If A point is equidistant from the endpoints, then a point lies on the perpendicular bisector of a segment.","If not a point lies on the perpendicular bisector of a segment, then not a point is equidistant from the endpoints.","None of the standard related statements is equivalent","If not a point is equidistant from the endpoints, then not a point lies on the perpendicular bisector of a segment.","D","A conditional statement is logically equivalent to its contrapositive.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_005","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Which error is made when a student concludes the converse is true simply because 'If \(x>5\), then \(x>2\).' is true?","The student is assuming that a true conditional always has a true converse","The student is using the contrapositive correctly","The student is applying proof by contradiction","The student is simplifying the hypothesis algebraically","A","A conditional does not automatically make its converse true.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_006","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a quadrilateral is a square, then it has four right angles.', which option is the converse?","If not a quadrilateral is a square, then not a quadrilateral has four right angles.","If A quadrilateral has four right angles, then a quadrilateral is a square.","If not a quadrilateral has four right angles, then not a quadrilateral is a square.","If a quadrilateral is a square, then it has four right angles.","B","The converse swaps the hypothesis and conclusion.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_007","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a number is divisible by \(6\), then it is divisible by \(3\).', which option is the inverse?","If A number is divisible by \(3\), then a number is divisible by \(6\).","If not a number is divisible by \(3\), then not a number is divisible by \(6\).","If not a number is divisible by \(6\), then not a number is divisible by \(3\).","If a number is divisible by \(6\), then it is divisible by \(3\).","C","The inverse negates both parts without reversing them.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_008","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Given the statement 'If a triangle is equilateral, then it is isosceles.', which option is the contrapositive?","If A triangle is isosceles, then a triangle is equilateral.","If not a triangle is equilateral, then not a triangle is isosceles.","If a triangle is equilateral, then it is isosceles.","If not a triangle is isosceles, then not a triangle is equilateral.","D","The contrapositive both reverses and negates the original statement.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_009","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Which statement is logically equivalent to 'If a point lies on the perpendicular bisector of a segment, then it is equidistant from the endpoints.'?","If not a point is equidistant from the endpoints, then not a point lies on the perpendicular bisector of a segment.","If A point is equidistant from the endpoints, then a point lies on the perpendicular bisector of a segment.","If not a point lies on the perpendicular bisector of a segment, then not a point is equidistant from the endpoints.","None of the standard related statements is equivalent","A","A conditional statement is logically equivalent to its contrapositive.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
"QB_A01_T01_S05_010","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S05","Conditional statements (converse, inverse and contrapositive (Stage 2))","1.1.5","Medium","MCQ","Which error is made when a student concludes the converse is true simply because 'If \(x>5\), then \(x>2\).' is true?","The student is using the contrapositive correctly","The student is assuming that a true conditional always has a true converse","The student is applying proof by contradiction","The student is simplifying the hypothesis algebraically","B","A conditional does not automatically make its converse true.","logic;reasoning;conditional;statements;converse;inverse;contrapositive;stage","approved_hierarchy_v1"
