"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T05_S07_001","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","Both pairs of opposite sides are parallel","One angle is acute","Two adjacent sides are equal","Exactly one diagonal is longer than the other","A","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_002","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Both pairs of opposite sides are parallel","Two adjacent sides are equal","Exactly one diagonal is longer than the other","B","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_003","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Two adjacent sides are equal","Both pairs of opposite sides are parallel","Exactly one diagonal is longer than the other","C","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_004","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Two adjacent sides are equal","Exactly one diagonal is longer than the other","Both pairs of opposite sides are parallel","D","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_005","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","Both pairs of opposite sides are parallel","One angle is acute","Two adjacent sides are equal","Exactly one diagonal is longer than the other","A","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_006","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Both pairs of opposite sides are parallel","Two adjacent sides are equal","Exactly one diagonal is longer than the other","B","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_007","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Two adjacent sides are equal","Both pairs of opposite sides are parallel","Exactly one diagonal is longer than the other","C","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_008","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Two adjacent sides are equal","Exactly one diagonal is longer than the other","Both pairs of opposite sides are parallel","D","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_009","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","Both pairs of opposite sides are parallel","One angle is acute","Two adjacent sides are equal","Exactly one diagonal is longer than the other","A","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
"QB_A02_T05_S07_010","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S07","Proving a Shape is a Parallelogram","2.5.7","Medium","MCQ","Which condition is sufficient to prove that a quadrilateral is a parallelogram?","One angle is acute","Both pairs of opposite sides are parallel","Two adjacent sides are equal","Exactly one diagonal is longer than the other","B","A quadrilateral with both pairs of opposite sides parallel is a parallelogram.","geometry;polygons;quadrilaterals;proving;shape;is;parallelogram;proof","approved_hierarchy_v1"
