"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T01_S07_001","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(35^\circ\), what is the measure of the matching corresponding angle on the second line?","\(35^\circ\)","\(145^\circ\)","\(50^\circ\)","\(20^\circ\)","A","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_002","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(42^\circ\), what is the measure of the matching corresponding angle on the second line?","\(138^\circ\)","\(42^\circ\)","\(57^\circ\)","\(27^\circ\)","B","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_003","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(49^\circ\), what is the measure of the matching corresponding angle on the second line?","\(131^\circ\)","\(64^\circ\)","\(49^\circ\)","\(34^\circ\)","C","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_004","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(56^\circ\), what is the measure of the matching corresponding angle on the second line?","\(124^\circ\)","\(71^\circ\)","\(41^\circ\)","\(56^\circ\)","D","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_005","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(63^\circ\), what is the measure of the matching corresponding angle on the second line?","\(63^\circ\)","\(117^\circ\)","\(78^\circ\)","\(48^\circ\)","A","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_006","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(70^\circ\), what is the measure of the matching corresponding angle on the second line?","\(110^\circ\)","\(70^\circ\)","\(85^\circ\)","\(55^\circ\)","B","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_007","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(77^\circ\), what is the measure of the matching corresponding angle on the second line?","\(103^\circ\)","\(92^\circ\)","\(77^\circ\)","\(62^\circ\)","C","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_008","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(84^\circ\), what is the measure of the matching corresponding angle on the second line?","\(96^\circ\)","\(99^\circ\)","\(69^\circ\)","\(84^\circ\)","D","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_009","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(91^\circ\), what is the measure of the matching corresponding angle on the second line?","\(91^\circ\)","\(89^\circ\)","\(106^\circ\)","\(76^\circ\)","A","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
"QB_A02_T01_S07_010","A02","Geometry","A02_T01","Angles","A02_T01_S07","Parallel Lines","2.1.7","Medium","MCQ","Two parallel lines are cut by a transversal. If a corresponding angle is \(98^\circ\), what is the measure of the matching corresponding angle on the second line?","\(82^\circ\)","\(98^\circ\)","\(113^\circ\)","\(83^\circ\)","B","Corresponding angles are equal when parallel lines are cut by a transversal.","geometry;angles;parallel;lines;parallel-lines","approved_hierarchy_v1"
