"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T02_S11_001","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","A shared side can be used as an equal corresponding side","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","A","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_002","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","A shared side can be used as an equal corresponding side","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","B","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_003","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","A shared side can be used as an equal corresponding side","Shared vertices guarantee similarity but not congruence","C","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_004","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","A shared side can be used as an equal corresponding side","D","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_005","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","A shared side can be used as an equal corresponding side","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","A","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_006","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","A shared side can be used as an equal corresponding side","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","B","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_007","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","A shared side can be used as an equal corresponding side","Shared vertices guarantee similarity but not congruence","C","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_008","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","A shared side can be used as an equal corresponding side","D","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_009","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","A shared side can be used as an equal corresponding side","The overlap automatically makes the triangles equilateral","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","A","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
"QB_A02_T02_S11_010","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S11","Examples involving overlapping triangles","2.2.11","Medium","MCQ","Two triangles overlap and share one side. Which statement would be most useful in proving them congruent?","The overlap automatically makes the triangles equilateral","A shared side can be used as an equal corresponding side","Only the area of the overlap matters","Shared vertices guarantee similarity but not congruence","B","A common side can serve as one of the equal corresponding sides in a congruence argument.","geometry;triangles;congruence;examples;involving;overlapping;overlap;reasoning","approved_hierarchy_v1"
