"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T05_S10_001","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Its diagonals bisect each other","Only one pair of adjacent sides is equal","One diagonal is horizontal","The figure has exactly one right angle","A","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_002","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","Its diagonals bisect each other","One diagonal is horizontal","The figure has exactly one right angle","B","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_003","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","One diagonal is horizontal","Its diagonals bisect each other","The figure has exactly one right angle","C","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_004","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","One diagonal is horizontal","The figure has exactly one right angle","Its diagonals bisect each other","D","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_005","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Its diagonals bisect each other","Only one pair of adjacent sides is equal","One diagonal is horizontal","The figure has exactly one right angle","A","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_006","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","Its diagonals bisect each other","One diagonal is horizontal","The figure has exactly one right angle","B","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_007","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","One diagonal is horizontal","Its diagonals bisect each other","The figure has exactly one right angle","C","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_008","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","One diagonal is horizontal","The figure has exactly one right angle","Its diagonals bisect each other","D","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_009","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Its diagonals bisect each other","Only one pair of adjacent sides is equal","One diagonal is horizontal","The figure has exactly one right angle","A","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
"QB_A02_T05_S10_010","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S10","The quadrilateral family and coordinate methods in geometry","2.5.10","Medium","MCQ","Which coordinate condition is sufficient to show that a quadrilateral is a parallelogram?","Only one pair of adjacent sides is equal","Its diagonals bisect each other","One diagonal is horizontal","The figure has exactly one right angle","B","In coordinate geometry, a quadrilateral is a parallelogram if its diagonals bisect each other.","geometry;polygons;quadrilaterals;quadrilateral;family;coordinate;methods;coordinate-methods","approved_hierarchy_v1"
