"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S04_001","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(12\) and an acute angle is \(35^\circ\). Which expression gives the adjacent side?","\(12\cos 35^\circ\)","\(12\sin 35^\circ\)","\(12\tan 35^\circ\)","\(\frac{12}{\cos 35^\circ}\)","A","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_002","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(13\) and an acute angle is \(40^\circ\). Which expression gives the adjacent side?","\(13\sin 40^\circ\)","\(13\cos 40^\circ\)","\(13\tan 40^\circ\)","\(\frac{13}{\cos 40^\circ}\)","B","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_003","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(14\) and an acute angle is \(45^\circ\). Which expression gives the adjacent side?","\(14\sin 45^\circ\)","\(14\tan 45^\circ\)","\(14\cos 45^\circ\)","\(\frac{14}{\cos 45^\circ}\)","C","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_004","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(15\) and an acute angle is \(50^\circ\). Which expression gives the adjacent side?","\(15\sin 50^\circ\)","\(15\tan 50^\circ\)","\(\frac{15}{\cos 50^\circ}\)","\(15\cos 50^\circ\)","D","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_005","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(16\) and an acute angle is \(55^\circ\). Which expression gives the adjacent side?","\(16\cos 55^\circ\)","\(16\sin 55^\circ\)","\(16\tan 55^\circ\)","\(\frac{16}{\cos 55^\circ}\)","A","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_006","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(17\) and an acute angle is \(35^\circ\). Which expression gives the adjacent side?","\(17\sin 35^\circ\)","\(17\cos 35^\circ\)","\(17\tan 35^\circ\)","\(\frac{17}{\cos 35^\circ}\)","B","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_007","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(18\) and an acute angle is \(40^\circ\). Which expression gives the adjacent side?","\(18\sin 40^\circ\)","\(18\tan 40^\circ\)","\(18\cos 40^\circ\)","\(\frac{18}{\cos 40^\circ}\)","C","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_008","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(19\) and an acute angle is \(45^\circ\). Which expression gives the adjacent side?","\(19\sin 45^\circ\)","\(19\tan 45^\circ\)","\(\frac{19}{\cos 45^\circ}\)","\(19\cos 45^\circ\)","D","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_009","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(12\) and an acute angle is \(50^\circ\). Which expression gives the adjacent side?","\(12\cos 50^\circ\)","\(12\sin 50^\circ\)","\(12\tan 50^\circ\)","\(\frac{12}{\cos 50^\circ}\)","A","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
"QB_A06_T01_S04_010","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S04","Using the trigonometric ratios to find unknown length. [Case 2 Cosine]","6.1.4","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(13\) and an acute angle is \(55^\circ\). Which expression gives the adjacent side?","\(13\sin 55^\circ\)","\(13\cos 55^\circ\)","\(13\tan 55^\circ\)","\(\frac{13}{\cos 55^\circ}\)","B","Use \(\cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;cosine","approved_hierarchy_v1"
