"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S12_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=2x+1\)?","\(y=2x+4\)","\(y=3x+4\)","\(y=1x+4\)","\(x=2y+4\)","A","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=3x+2\)?","\(y=4x+5\)","\(y=3x+5\)","\(y=2x+5\)","\(x=3y+5\)","B","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=4x+3\)?","\(y=5x+6\)","\(y=3x+6\)","\(y=4x+6\)","\(x=4y+6\)","C","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=5x+4\)?","\(y=6x+7\)","\(y=4x+7\)","\(x=5y+7\)","\(y=5x+7\)","D","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=2x+5\)?","\(y=2x+8\)","\(y=3x+8\)","\(y=1x+8\)","\(x=2y+8\)","A","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=3x+1\)?","\(y=4x+4\)","\(y=3x+4\)","\(y=2x+4\)","\(x=3y+4\)","B","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=4x+2\)?","\(y=5x+5\)","\(y=3x+5\)","\(y=4x+5\)","\(x=4y+5\)","C","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=5x+3\)?","\(y=6x+6\)","\(y=4x+6\)","\(x=5y+6\)","\(y=5x+6\)","D","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=2x+4\)?","\(y=2x+7\)","\(y=3x+7\)","\(y=1x+7\)","\(x=2y+7\)","A","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Medium","MCQ","Which equation is parallel to the line \(y=3x+5\)?","\(y=4x+8\)","\(y=3x+8\)","\(y=2x+8\)","\(x=3y+8\)","B","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_011","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Hard","MCQ","Which equation is parallel to the line \(y=4x+1\)?","\(y=5x+4\)","\(y=3x+4\)","\(y=4x+4\)","\(x=4y+4\)","C","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_012","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Hard","MCQ","Which equation is parallel to the line \(y=5x+2\)?","\(y=6x+5\)","\(y=4x+5\)","\(x=5y+5\)","\(y=5x+5\)","D","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_013","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Hard","MCQ","Which equation is parallel to the line \(y=2x+3\)?","\(y=2x+6\)","\(y=3x+6\)","\(y=1x+6\)","\(x=2y+6\)","A","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_014","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Hard","MCQ","Which equation is parallel to the line \(y=3x+4\)?","\(y=4x+7\)","\(y=3x+7\)","\(y=2x+7\)","\(x=3y+7\)","B","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
"QB_A02_T04_S12_015","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S12","Parallel lines: identify equation of a line parallel to another","2.4.12","Hard","MCQ","Which equation is parallel to the line \(y=4x+5\)?","\(y=5x+8\)","\(y=3x+8\)","\(y=4x+8\)","\(x=4y+8\)","C","Parallel lines have the same gradient.","geometry;coordinate;parallel;lines;identify;equation;line","approved_hierarchy_v1"
