"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S06_001","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(6\). Which expression gives the hypotenuse?","\(\frac{6}{\sin 30^\circ}\)","\(6\sin 30^\circ\)","\(\frac{6}{\cos 30^\circ}\)","\(6\tan 30^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_002","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(7\). Which expression gives the hypotenuse?","\(7\sin 36^\circ\)","\(\frac{7}{\sin 36^\circ}\)","\(\frac{7}{\cos 36^\circ}\)","\(7\tan 36^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_003","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(8\). Which expression gives the hypotenuse?","\(8\sin 42^\circ\)","\(\frac{8}{\cos 42^\circ}\)","\(\frac{8}{\sin 42^\circ}\)","\(8\tan 42^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_004","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(9\). Which expression gives the hypotenuse?","\(9\sin 48^\circ\)","\(\frac{9}{\cos 48^\circ}\)","\(9\tan 48^\circ\)","\(\frac{9}{\sin 48^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_005","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(10\). Which expression gives the hypotenuse?","\(\frac{10}{\sin 54^\circ}\)","\(10\sin 54^\circ\)","\(\frac{10}{\cos 54^\circ}\)","\(10\tan 54^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_006","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(11\). Which expression gives the hypotenuse?","\(11\sin 30^\circ\)","\(\frac{11}{\sin 30^\circ}\)","\(\frac{11}{\cos 30^\circ}\)","\(11\tan 30^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_007","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(6\). Which expression gives the hypotenuse?","\(6\sin 36^\circ\)","\(\frac{6}{\cos 36^\circ}\)","\(\frac{6}{\sin 36^\circ}\)","\(6\tan 36^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_008","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(7\). Which expression gives the hypotenuse?","\(7\sin 42^\circ\)","\(\frac{7}{\cos 42^\circ}\)","\(7\tan 42^\circ\)","\(\frac{7}{\sin 42^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_009","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(8\). Which expression gives the hypotenuse?","\(\frac{8}{\sin 48^\circ}\)","\(8\sin 48^\circ\)","\(\frac{8}{\cos 48^\circ}\)","\(8\tan 48^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_010","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Medium","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(9\). Which expression gives the hypotenuse?","\(9\sin 54^\circ\)","\(\frac{9}{\sin 54^\circ}\)","\(\frac{9}{\cos 54^\circ}\)","\(9\tan 54^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_011","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(10\). Which expression gives the hypotenuse?","\(10\sin 30^\circ\)","\(\frac{10}{\cos 30^\circ}\)","\(\frac{10}{\sin 30^\circ}\)","\(10\tan 30^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_012","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(11\). Which expression gives the hypotenuse?","\(11\sin 36^\circ\)","\(\frac{11}{\cos 36^\circ}\)","\(11\tan 36^\circ\)","\(\frac{11}{\sin 36^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_013","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(6\). Which expression gives the hypotenuse?","\(\frac{6}{\sin 42^\circ}\)","\(6\sin 42^\circ\)","\(\frac{6}{\cos 42^\circ}\)","\(6\tan 42^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_014","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(7\). Which expression gives the hypotenuse?","\(7\sin 48^\circ\)","\(\frac{7}{\sin 48^\circ}\)","\(\frac{7}{\cos 48^\circ}\)","\(7\tan 48^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
