"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T01_S04_001","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(8\) and \(10\). What is its area?","\(40\)","\(80\)","\(18\)","\(43\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_002","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(9\) and \(11\). What is its area?","\(99\)","\(49\)","\(20\)","\(52\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_003","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(10\) and \(12\). What is its area?","\(120\)","\(22\)","\(60\)","\(63\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_004","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(11\) and \(13\). What is its area?","\(143\)","\(24\)","\(74\)","\(71\)","D","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_005","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(12\) and \(14\). What is its area?","\(84\)","\(168\)","\(26\)","\(87\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_006","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(13\) and \(10\). What is its area?","\(130\)","\(65\)","\(23\)","\(68\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_007","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(8\) and \(11\). What is its area?","\(88\)","\(19\)","\(44\)","\(47\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_008","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(9\) and \(12\). What is its area?","\(108\)","\(21\)","\(57\)","\(54\)","D","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_009","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(10\) and \(13\). What is its area?","\(65\)","\(130\)","\(23\)","\(68\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_010","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Medium","MCQ","A rhombus has diagonals \(11\) and \(14\). What is its area?","\(154\)","\(77\)","\(25\)","\(80\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_011","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(12\) and \(10\). What is its area?","\(120\)","\(22\)","\(60\)","\(63\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_012","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(13\) and \(11\). What is its area?","\(143\)","\(24\)","\(74\)","\(71\)","D","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_013","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(8\) and \(12\). What is its area?","\(48\)","\(96\)","\(20\)","\(51\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_014","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(9\) and \(13\). What is its area?","\(117\)","\(58\)","\(22\)","\(61\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_015","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(10\) and \(14\). What is its area?","\(140\)","\(24\)","\(70\)","\(73\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_016","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(11\) and \(10\). What is its area?","\(110\)","\(21\)","\(58\)","\(55\)","D","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_017","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(12\) and \(11\). What is its area?","\(66\)","\(132\)","\(23\)","\(69\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_018","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(13\) and \(12\). What is its area?","\(156\)","\(78\)","\(25\)","\(81\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_019","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(8\) and \(13\). What is its area?","\(104\)","\(21\)","\(52\)","\(55\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_020","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(9\) and \(14\). What is its area?","\(126\)","\(23\)","\(66\)","\(63\)","D","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_021","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(10\) and \(10\). What is its area?","\(50\)","\(100\)","\(20\)","\(53\)","A","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_022","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(11\) and \(11\). What is its area?","\(121\)","\(60\)","\(22\)","\(63\)","B","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
"QB_A05_T01_S04_023","A05","Measurement","A05_T01","Area","A05_T01_S04","Area of a rhombus","5.1.4","Hard","MCQ","A rhombus has diagonals \(12\) and \(12\). What is its area?","\(144\)","\(24\)","\(72\)","\(75\)","C","The area of a rhombus is \(\frac{1}{2}d_1d_2\).","measurement;area;rhombus","approved_hierarchy_v1"
