"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T02_S03_001","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-12|\)?","\(12\)","\(-12\)","\(-12\) ","\(13\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_002","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-11|\)?","\(-11\)","\(11\)","\(-11\) ","\(12\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_003","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-10|\)?","\(-10\)","\(-10\) ","\(10\)","\(11\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_004","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-9|\)?","\(-9\)","\(-9\) ","\(10\)","\(9\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_005","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-8|\)?","\(8\)","\(-8\)","\(-8\) ","\(9\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_006","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-7|\)?","\(-7\)","\(7\)","\(-7\) ","\(8\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_007","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-6|\)?","\(-6\)","\(-6\) ","\(6\)","\(7\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_008","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-5|\)?","\(-5\)","\(-5\) ","\(6\)","\(5\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_009","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-4|\)?","\(4\)","\(-4\)","\(-4\) ","\(5\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_010","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Medium","MCQ","What is \(|-3|\)?","\(-3\)","\(3\)","\(-3\) ","\(4\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_011","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|-2|\)?","\(-2\)","\(-2\) ","\(2\)","\(3\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_012","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|-1|\)?","\(-1\)","\(-1\) ","\(2\)","\(1\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_013","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|0|\)?","\(0\)","\(1\)","\(-1\)","\(2\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_014","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|1|\)?","\(1\) ","\(1\)","\(-1\)","\(2\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_015","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|2|\)?","\(2\) ","\(-2\)","\(2\)","\(3\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_016","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|3|\)?","\(3\) ","\(-3\)","\(4\)","\(3\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_017","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|4|\)?","\(4\)","\(4\) ","\(-4\)","\(5\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_018","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|5|\)?","\(5\) ","\(5\)","\(-5\)","\(6\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_019","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|6|\)?","\(6\) ","\(-6\)","\(6\)","\(7\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_020","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|7|\)?","\(7\) ","\(-7\)","\(8\)","\(7\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_021","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|8|\)?","\(8\)","\(8\) ","\(-8\)","\(9\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_022","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|9|\)?","\(9\) ","\(9\)","\(-9\)","\(10\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_023","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|10|\)?","\(10\) ","\(-10\)","\(10\)","\(11\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_024","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Hard","MCQ","What is \(|11|\)?","\(11\) ","\(-11\)","\(12\)","\(11\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_025","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|12|\)?","\(12\)","\(12\) ","\(-12\)","\(13\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_026","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|-12|\)?","\(-12\)","\(12\)","\(-12\) ","\(13\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_027","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|-11|\)?","\(-11\)","\(-11\) ","\(11\)","\(12\)","C","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_028","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|-10|\)?","\(-10\)","\(-10\) ","\(11\)","\(10\)","D","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_029","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|-9|\)?","\(9\)","\(-9\)","\(-9\) ","\(10\)","A","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
"QB_A03_T02_S03_030","A03","Algebra","A03_T02","Inequalities & Absolute Value","A03_T02_S03","Simplifying absolute values","3.2.3","Advanced","MCQ","What is \(|-8|\)?","\(-8\)","\(8\)","\(-8\) ","\(9\)","B","Absolute value gives the distance from zero, so it is always non-negative.","algebra;inequalities;absolute;value;simplifying;values;absolute-value","approved_hierarchy_v1"
