"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T03_S03_001","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(2\) and height \(4\)?","\(16\pi\)","\(16\pi\) ","\(8\pi\)","\(8\pi\) ","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_002","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the surface area of a sphere of radius \(3\)?","\(9\pi\)","\(36\pi\)","\(18\pi\)","\(12\pi\)","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_003","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(4\) and height \(6\)?","\(96\pi\)","\(32\pi\)","\(48\pi\)","\(24\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_004","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the surface area of a sphere of radius \(5\)?","\(25\pi\)","\(50\pi\)","\(20\pi\)","\(100\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_005","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(6\) and height \(8\)?","\(96\pi\)","\(288\pi\)","\(72\pi\)","\(48\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_006","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the surface area of a sphere of radius \(2\)?","\(4\pi\)","\(16\pi\)","\(8\pi\)","\(8\pi\) ","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_007","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(3\) and height \(5\)?","\(45\pi\)","\(18\pi\)","\(30\pi\)","\(15\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_008","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the surface area of a sphere of radius \(4\)?","\(16\pi\)","\(32\pi\)","\(16\pi\) ","\(64\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_009","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(5\) and height \(7\)?","\(70\pi\)","\(175\pi\)","\(50\pi\)","\(35\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_010","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Medium","MCQ","What is the surface area of a sphere of radius \(6\)?","\(36\pi\)","\(144\pi\)","\(72\pi\)","\(24\pi\)","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_011","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(2\) and height \(4\)?","\(16\pi\) ","\(8\pi\)","\(16\pi\)","\(8\pi\) ","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_012","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(3\)?","\(9\pi\)","\(18\pi\)","\(12\pi\)","\(36\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_013","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(4\) and height \(6\)?","\(48\pi\)","\(96\pi\)","\(32\pi\)","\(24\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_014","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(5\)?","\(25\pi\)","\(100\pi\)","\(50\pi\)","\(20\pi\)","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_015","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(6\) and height \(8\)?","\(288\pi\)","\(72\pi\)","\(96\pi\)","\(48\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_016","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(2\)?","\(4\pi\)","\(8\pi\)","\(8\pi\) ","\(16\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_017","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(3\) and height \(5\)?","\(30\pi\)","\(45\pi\)","\(18\pi\)","\(15\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_018","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(4\)?","\(16\pi\)","\(64\pi\)","\(32\pi\)","\(16\pi\) ","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_019","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(5\) and height \(7\)?","\(175\pi\)","\(50\pi\)","\(70\pi\)","\(35\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_020","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(6\)?","\(36\pi\)","\(72\pi\)","\(24\pi\)","\(144\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_021","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(2\) and height \(4\)?","\(16\pi\)","\(16\pi\) ","\(8\pi\)","\(8\pi\) ","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_022","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(3\)?","\(9\pi\)","\(36\pi\)","\(18\pi\)","\(12\pi\)","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_023","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(4\) and height \(6\)?","\(96\pi\)","\(32\pi\)","\(48\pi\)","\(24\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_024","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Hard","MCQ","What is the surface area of a sphere of radius \(5\)?","\(25\pi\)","\(50\pi\)","\(20\pi\)","\(100\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_025","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(6\) and height \(8\)?","\(96\pi\)","\(288\pi\)","\(72\pi\)","\(48\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_026","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the surface area of a sphere of radius \(2\)?","\(4\pi\)","\(16\pi\)","\(8\pi\)","\(8\pi\) ","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_027","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(3\) and height \(5\)?","\(45\pi\)","\(18\pi\)","\(30\pi\)","\(15\pi\)","C","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_028","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the surface area of a sphere of radius \(4\)?","\(16\pi\)","\(32\pi\)","\(16\pi\) ","\(64\pi\)","D","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_029","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the curved surface area contribution in the surface area of a cylinder of radius \(5\) and height \(7\)?","\(70\pi\)","\(175\pi\)","\(50\pi\)","\(35\pi\)","A","The curved surface area of a cylinder is \(2\pi rh\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S03_030","A05","Measurement","A05_T03","Surface Area","A05_T03_S03","Surface area of a cylinder and sphere","5.3.3","Advanced","MCQ","What is the surface area of a sphere of radius \(6\)?","\(36\pi\)","\(144\pi\)","\(72\pi\)","\(24\pi\)","B","The surface area of a sphere is \(4\pi r^2\).","measurement;surface;area;cylinder;sphere;surface-area","approved_hierarchy_v1"
