"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T06_S09_001","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which statement best matches the idea of The angle of a semi-circle is a right angle?","The angle of a semi-circle is a right angle","A statement unrelated to the angle of a semi-circle is a right angle","A numerical shortcut with no proof condition","A property that applies only to a different topic","A","The correct option restates the central idea of the angle of a semi-circle is a right angle.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_002","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","A student wants to apply the angle of a semi-circle is a right angle. What is the most reliable first step?","Assume the statement works in reverse without checking","Identify the exact condition required by the statement before drawing a conclusion","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","B","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_003","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which option shows a valid use of the angle of a semi-circle is a right angle?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Use the stated condition and then apply the angle of a semi-circle is a right angle to justify the conclusion","Ignore the named feature and use an unrelated formula","C","A valid use of the angle of a semi-circle is a right angle must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_004","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","When solving a problem involving the angle of a semi-circle is a right angle, which error is most serious?","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","Using the result without first checking that the required condition is true","D","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_005","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which description best explains why the angle of a semi-circle is a right angle is useful in geometric reasoning?","It turns a verified condition into a justified conclusion","It removes the need for any diagram labels","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","A","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_006","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which statement best matches the idea of The angle of a semi-circle is a right angle?","A statement unrelated to the angle of a semi-circle is a right angle","The angle of a semi-circle is a right angle","A numerical shortcut with no proof condition","A property that applies only to a different topic","B","The correct option restates the central idea of the angle of a semi-circle is a right angle.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_007","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","A student wants to apply the angle of a semi-circle is a right angle. What is the most reliable first step?","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Identify the exact condition required by the statement before drawing a conclusion","Ignore whether the objects satisfy the given conditions","C","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_008","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which option shows a valid use of the angle of a semi-circle is a right angle?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","Use the stated condition and then apply the angle of a semi-circle is a right angle to justify the conclusion","D","A valid use of the angle of a semi-circle is a right angle must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_009","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","When solving a problem involving the angle of a semi-circle is a right angle, which error is most serious?","Using the result without first checking that the required condition is true","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","A","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_010","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Medium","MCQ","Which description best explains why the angle of a semi-circle is a right angle is useful in geometric reasoning?","It removes the need for any diagram labels","It turns a verified condition into a justified conclusion","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","B","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_011","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Hard","MCQ","Which statement best matches the idea of The angle of a semi-circle is a right angle?","A statement unrelated to the angle of a semi-circle is a right angle","A numerical shortcut with no proof condition","The angle of a semi-circle is a right angle","A property that applies only to a different topic","C","The correct option restates the central idea of the angle of a semi-circle is a right angle.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_012","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Hard","MCQ","A student wants to apply the angle of a semi-circle is a right angle. What is the most reliable first step?","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","Identify the exact condition required by the statement before drawing a conclusion","D","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_013","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Hard","MCQ","Which option shows a valid use of the angle of a semi-circle is a right angle?","Use the stated condition and then apply the angle of a semi-circle is a right angle to justify the conclusion","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","A","A valid use of the angle of a semi-circle is a right angle must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_014","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Hard","MCQ","When solving a problem involving the angle of a semi-circle is a right angle, which error is most serious?","Writing the answer on a new line","Using the result without first checking that the required condition is true","Listing the given information before the working","Choosing a shorter explanation after the result is known","B","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S09_015","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S09","Theorem - The angle of a semi-circle is a right angle","2.6.9","Hard","MCQ","Which description best explains why the angle of a semi-circle is a right angle is useful in geometric reasoning?","It removes the need for any diagram labels","It guarantees that every figure is regular","It turns a verified condition into a justified conclusion","It replaces all angle and length calculations with guessing","C","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;semi;is;right;conceptual;reasoning","approved_hierarchy_v1"
