"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T03_S01_001","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(5\), \(4\), and \(3\)?","\(94\)","\(60\)","\(24\)","\(47\)","A","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_002","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(6\), \(5\), and \(4\)?","\(120\)","\(148\)","\(30\)","\(74\)","B","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_003","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(7\), \(6\), and \(5\)?","\(210\)","\(36\)","\(214\)","\(107\)","C","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_004","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(8\), \(7\), and \(3\)?","\(168\)","\(36\)","\(101\)","\(202\)","D","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_005","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(9\), \(4\), and \(4\)?","\(176\)","\(144\)","\(34\)","\(88\)","A","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_006","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(5\), \(5\), and \(5\)?","\(125\)","\(150\)","\(30\)","\(75\)","B","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_007","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(6\), \(6\), and \(3\)?","\(108\)","\(30\)","\(144\)","\(72\)","C","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_008","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(7\), \(7\), and \(4\)?","\(196\)","\(36\)","\(105\)","\(210\)","D","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_009","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(8\), \(4\), and \(5\)?","\(184\)","\(160\)","\(34\)","\(92\)","A","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S01_010","A05","Measurement","A05_T03","Surface Area","A05_T03_S01","Surface area of a cube/rectangular prism","5.3.1","Medium","MCQ","What is the surface area of a rectangular prism with dimensions \(9\), \(5\), and \(3\)?","\(135\)","\(174\)","\(34\)","\(87\)","B","Add the areas of all six faces.","measurement;surface;area;cube;rectangular;prism;surface-area","approved_hierarchy_v1"
