"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S02_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((1,2)\) and \((3,5)\)?","\(\left(2, 7/2\right)\)","\(\left(2, 3\right)\)","\(\left(4, 7\right)\)","\(\left(1, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((2,3)\) and \((5,7)\)?","\(\left(3, 4\right)\)","\(\left(7/2, 5\right)\)","\(\left(7, 10\right)\)","\(\left(3/2, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((3,4)\) and \((7,9)\)?","\(\left(4, 5\right)\)","\(\left(10, 13\right)\)","\(\left(5, 13/2\right)\)","\(\left(2, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((4,5)\) and \((9,11)\)?","\(\left(5, 6\right)\)","\(\left(13, 16\right)\)","\(\left(5/2, 3\right)\)","\(\left(13/2, 8\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((5,6)\) and \((11,9)\)?","\(\left(8, 15/2\right)\)","\(\left(6, 3\right)\)","\(\left(16, 15\right)\)","\(\left(3, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((6,7)\) and \((8,11)\)?","\(\left(2, 4\right)\)","\(\left(7, 9\right)\)","\(\left(14, 18\right)\)","\(\left(1, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((1,8)\) and \((4,13)\)?","\(\left(3, 5\right)\)","\(\left(5, 21\right)\)","\(\left(5/2, 21/2\right)\)","\(\left(3/2, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((2,2)\) and \((6,8)\)?","\(\left(4, 6\right)\)","\(\left(8, 10\right)\)","\(\left(2, 3\right)\)","\(\left(4, 5\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((3,3)\) and \((8,6)\)?","\(\left(11/2, 9/2\right)\)","\(\left(5, 3\right)\)","\(\left(11, 9\right)\)","\(\left(5/2, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Medium","MCQ","What is the midpoint of the segment joining \((4,4)\) and \((10,8)\)?","\(\left(6, 4\right)\)","\(\left(7, 6\right)\)","\(\left(14, 12\right)\)","\(\left(3, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_011","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((5,5)\) and \((7,10)\)?","\(\left(2, 5\right)\)","\(\left(12, 15\right)\)","\(\left(6, 15/2\right)\)","\(\left(1, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_012","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((6,6)\) and \((9,12)\)?","\(\left(3, 6\right)\)","\(\left(15, 18\right)\)","\(\left(3/2, 3\right)\)","\(\left(15/2, 9\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_013","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((1,7)\) and \((5,10)\)?","\(\left(3, 17/2\right)\)","\(\left(4, 3\right)\)","\(\left(6, 17\right)\)","\(\left(2, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_014","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((2,8)\) and \((7,12)\)?","\(\left(5, 4\right)\)","\(\left(9/2, 10\right)\)","\(\left(9, 20\right)\)","\(\left(5/2, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_015","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((3,2)\) and \((9,7)\)?","\(\left(6, 5\right)\)","\(\left(12, 9\right)\)","\(\left(6, 9/2\right)\)","\(\left(3, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_016","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((4,3)\) and \((6,9)\)?","\(\left(2, 6\right)\)","\(\left(10, 12\right)\)","\(\left(1, 3\right)\)","\(\left(5, 6\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_017","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((5,4)\) and \((8,7)\)?","\(\left(13/2, 11/2\right)\)","\(\left(3, 3\right)\)","\(\left(13, 11\right)\)","\(\left(3/2, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_018","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((6,5)\) and \((10,9)\)?","\(\left(4, 4\right)\)","\(\left(8, 7\right)\)","\(\left(16, 14\right)\)","\(\left(2, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_019","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((1,6)\) and \((6,11)\)?","\(\left(5, 5\right)\)","\(\left(7, 17\right)\)","\(\left(7/2, 17/2\right)\)","\(\left(5/2, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_020","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((2,7)\) and \((8,13)\)?","\(\left(6, 6\right)\)","\(\left(10, 20\right)\)","\(\left(3, 3\right)\)","\(\left(5, 10\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_021","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((3,8)\) and \((5,11)\)?","\(\left(4, 19/2\right)\)","\(\left(2, 3\right)\)","\(\left(8, 19\right)\)","\(\left(1, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_022","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((4,2)\) and \((7,6)\)?","\(\left(3, 4\right)\)","\(\left(11/2, 4\right)\)","\(\left(11, 8\right)\)","\(\left(3/2, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_023","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((5,3)\) and \((9,8)\)?","\(\left(4, 5\right)\)","\(\left(14, 11\right)\)","\(\left(7, 11/2\right)\)","\(\left(2, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_024","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Hard","MCQ","What is the midpoint of the segment joining \((6,4)\) and \((11,10)\)?","\(\left(5, 6\right)\)","\(\left(17, 14\right)\)","\(\left(5/2, 3\right)\)","\(\left(17/2, 7\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_025","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Advanced","MCQ","What is the midpoint of the segment joining \((1,5)\) and \((7,8)\)?","\(\left(4, 13/2\right)\)","\(\left(6, 3\right)\)","\(\left(8, 13\right)\)","\(\left(3, 3/2\right)\)","A","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_026","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Advanced","MCQ","What is the midpoint of the segment joining \((2,6)\) and \((4,10)\)?","\(\left(2, 4\right)\)","\(\left(3, 8\right)\)","\(\left(6, 16\right)\)","\(\left(1, 2\right)\)","B","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_027","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Advanced","MCQ","What is the midpoint of the segment joining \((3,7)\) and \((6,12)\)?","\(\left(3, 5\right)\)","\(\left(9, 19\right)\)","\(\left(9/2, 19/2\right)\)","\(\left(3/2, 5/2\right)\)","C","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
"QB_A02_T04_S02_028","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S02","Mid-point formula","2.4.2","Advanced","MCQ","What is the midpoint of the segment joining \((4,8)\) and \((8,14)\)?","\(\left(4, 6\right)\)","\(\left(12, 22\right)\)","\(\left(2, 3\right)\)","\(\left(6, 11\right)\)","D","The midpoint is found by averaging the \(x\)-coordinates and the \(y\)-coordinates.","geometry;coordinate;mid;point;formula;midpoint","approved_hierarchy_v1"
