"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T03_S04_001","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 4x + 1\)?","\((x+2)^2 -3\)","\((x+4)^2+1\)","\((x+2)^2+1\)","\((x-2)^2 -3\)","A","\(x^2+4x=(x+2)^2-4\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_002","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 6x + 2\)?","\((x+6)^2+2\)","\((x+3)^2 -7\)","\((x+3)^2+2\)","\((x-3)^2 -7\)","B","\(x^2+6x=(x+3)^2-9\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_003","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 8x + 3\)?","\((x+8)^2+3\)","\((x+4)^2+3\)","\((x+4)^2 -13\)","\((x-4)^2 -13\)","C","\(x^2+8x=(x+4)^2-16\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_004","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 10x + 4\)?","\((x+10)^2+4\)","\((x+5)^2+4\)","\((x-5)^2 -21\)","\((x+5)^2 -21\)","D","\(x^2+10x=(x+5)^2-25\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_005","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 12x + 5\)?","\((x+6)^2 -31\)","\((x+12)^2+5\)","\((x+6)^2+5\)","\((x-6)^2 -31\)","A","\(x^2+12x=(x+6)^2-36\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_006","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 14x + 1\)?","\((x+14)^2+1\)","\((x+7)^2 -48\)","\((x+7)^2+1\)","\((x-7)^2 -48\)","B","\(x^2+14x=(x+7)^2-49\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_007","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 4x + 2\)?","\((x+4)^2+2\)","\((x+2)^2+2\)","\((x+2)^2 -2\)","\((x-2)^2 -2\)","C","\(x^2+4x=(x+2)^2-4\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_008","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 6x + 3\)?","\((x+6)^2+3\)","\((x+3)^2+3\)","\((x-3)^2 -6\)","\((x+3)^2 -6\)","D","\(x^2+6x=(x+3)^2-9\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_009","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 8x + 4\)?","\((x+4)^2 -12\)","\((x+8)^2+4\)","\((x+4)^2+4\)","\((x-4)^2 -12\)","A","\(x^2+8x=(x+4)^2-16\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_010","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Medium","MCQ","Which expression completes the square for \(x^2 + 10x + 5\)?","\((x+10)^2+5\)","\((x+5)^2 -20\)","\((x+5)^2+5\)","\((x-5)^2 -20\)","B","\(x^2+10x=(x+5)^2-25\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_011","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 12x + 1\)?","\((x+12)^2+1\)","\((x+6)^2+1\)","\((x+6)^2 -35\)","\((x-6)^2 -35\)","C","\(x^2+12x=(x+6)^2-36\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_012","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 14x + 2\)?","\((x+14)^2+2\)","\((x+7)^2+2\)","\((x-7)^2 -47\)","\((x+7)^2 -47\)","D","\(x^2+14x=(x+7)^2-49\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_013","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 4x + 3\)?","\((x+2)^2 -1\)","\((x+4)^2+3\)","\((x+2)^2+3\)","\((x-2)^2 -1\)","A","\(x^2+4x=(x+2)^2-4\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_014","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 6x + 4\)?","\((x+6)^2+4\)","\((x+3)^2 -5\)","\((x+3)^2+4\)","\((x-3)^2 -5\)","B","\(x^2+6x=(x+3)^2-9\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_015","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 8x + 5\)?","\((x+8)^2+5\)","\((x+4)^2+5\)","\((x+4)^2 -11\)","\((x-4)^2 -11\)","C","\(x^2+8x=(x+4)^2-16\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_016","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 10x + 1\)?","\((x+10)^2+1\)","\((x+5)^2+1\)","\((x-5)^2 -24\)","\((x+5)^2 -24\)","D","\(x^2+10x=(x+5)^2-25\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_017","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 12x + 2\)?","\((x+6)^2 -34\)","\((x+12)^2+2\)","\((x+6)^2+2\)","\((x-6)^2 -34\)","A","\(x^2+12x=(x+6)^2-36\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_018","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 14x + 3\)?","\((x+14)^2+3\)","\((x+7)^2 -46\)","\((x+7)^2+3\)","\((x-7)^2 -46\)","B","\(x^2+14x=(x+7)^2-49\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_019","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 4x + 4\)?","\((x+4)^2+4\)","\((x+2)^2+4\)","\((x+2)^2 +0\)","\((x-2)^2 +0\)","C","\(x^2+4x=(x+2)^2-4\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_020","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 6x + 5\)?","\((x+6)^2+5\)","\((x+3)^2+5\)","\((x-3)^2 -4\)","\((x+3)^2 -4\)","D","\(x^2+6x=(x+3)^2-9\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_021","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 8x + 1\)?","\((x+4)^2 -15\)","\((x+8)^2+1\)","\((x+4)^2+1\)","\((x-4)^2 -15\)","A","\(x^2+8x=(x+4)^2-16\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
"QB_A03_T03_S04_022","A03","Algebra","A03_T03","Quadratic Equations","A03_T03_S04","Completing the square","3.3.4","Hard","MCQ","Which expression completes the square for \(x^2 + 10x + 2\)?","\((x+10)^2+2\)","\((x+5)^2 -23\)","\((x+5)^2+2\)","\((x-5)^2 -23\)","B","\(x^2+10x=(x+5)^2-25\), so the constant adjusts accordingly.","algebra;quadratic;equations;completing;square;completing-square","approved_hierarchy_v1"
