"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S09_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{2}}\).","\(\frac{\sqrt{2}}{2}\)","\(\frac{1}{2}\)","\(\sqrt{2}\)","\(\frac{2}{\sqrt{2}}\)","A","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}}\).","\(\frac{1}{3}\)","\(\frac{\sqrt{3}}{3}\)","\(\sqrt{3}\)","\(\frac{3}{\sqrt{3}}\)","B","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{5}}\).","\(\frac{1}{5}\)","\(\sqrt{5}\)","\(\frac{\sqrt{5}}{5}\)","\(\frac{5}{\sqrt{5}}\)","C","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{7}}\).","\(\frac{1}{7}\)","\(\sqrt{7}\)","\(\frac{7}{\sqrt{7}}\)","\(\frac{\sqrt{7}}{7}\)","D","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{2}}\).","\(\frac{\sqrt{2}}{2}\)","\(\frac{1}{2}\)","\(\sqrt{2}\)","\(\frac{2}{\sqrt{2}}\)","A","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}}\).","\(\frac{1}{3}\)","\(\frac{\sqrt{3}}{3}\)","\(\sqrt{3}\)","\(\frac{3}{\sqrt{3}}\)","B","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{5}}\).","\(\frac{1}{5}\)","\(\sqrt{5}\)","\(\frac{\sqrt{5}}{5}\)","\(\frac{5}{\sqrt{5}}\)","C","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{7}}\).","\(\frac{1}{7}\)","\(\sqrt{7}\)","\(\frac{7}{\sqrt{7}}\)","\(\frac{\sqrt{7}}{7}\)","D","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{2}}\).","\(\frac{\sqrt{2}}{2}\)","\(\frac{1}{2}\)","\(\sqrt{2}\)","\(\frac{2}{\sqrt{2}}\)","A","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}}\).","\(\frac{1}{3}\)","\(\frac{\sqrt{3}}{3}\)","\(\sqrt{3}\)","\(\frac{3}{\sqrt{3}}\)","B","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_011","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{5}}\).","\(\frac{1}{5}\)","\(\sqrt{5}\)","\(\frac{\sqrt{5}}{5}\)","\(\frac{5}{\sqrt{5}}\)","C","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_012","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{7}}\).","\(\frac{1}{7}\)","\(\sqrt{7}\)","\(\frac{7}{\sqrt{7}}\)","\(\frac{\sqrt{7}}{7}\)","D","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_013","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{2}}\).","\(\frac{\sqrt{2}}{2}\)","\(\frac{1}{2}\)","\(\sqrt{2}\)","\(\frac{2}{\sqrt{2}}\)","A","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_014","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}}\).","\(\frac{1}{3}\)","\(\frac{\sqrt{3}}{3}\)","\(\sqrt{3}\)","\(\frac{3}{\sqrt{3}}\)","B","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_015","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{5}}\).","\(\frac{1}{5}\)","\(\sqrt{5}\)","\(\frac{\sqrt{5}}{5}\)","\(\frac{5}{\sqrt{5}}\)","C","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_016","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{7}}\).","\(\frac{1}{7}\)","\(\sqrt{7}\)","\(\frac{7}{\sqrt{7}}\)","\(\frac{\sqrt{7}}{7}\)","D","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
"QB_A04_T01_S09_017","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S09","Rationalising the denominator","4.1.9","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{2}}\).","\(\frac{\sqrt{2}}{2}\)","\(\frac{1}{2}\)","\(\sqrt{2}\)","\(\frac{2}{\sqrt{2}}\)","A","Multiply top and bottom by the surd to remove the root from the denominator.","numbers;surds;rationalising;denominator;rationalise","approved_hierarchy_v1"
