"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T03_S02_001","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","The total area of the two end faces and the lateral faces","Only the volume of the prism","Only one diagonal length","Only the area of one rectangular face","A","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_002","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","The total area of the two end faces and the lateral faces","Only one diagonal length","Only the area of one rectangular face","B","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_003","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","Only one diagonal length","The total area of the two end faces and the lateral faces","Only the area of one rectangular face","C","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_004","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","Only one diagonal length","Only the area of one rectangular face","The total area of the two end faces and the lateral faces","D","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_005","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","The total area of the two end faces and the lateral faces","Only the volume of the prism","Only one diagonal length","Only the area of one rectangular face","A","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_006","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","The total area of the two end faces and the lateral faces","Only one diagonal length","Only the area of one rectangular face","B","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_007","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","Only one diagonal length","The total area of the two end faces and the lateral faces","Only the area of one rectangular face","C","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_008","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","Only one diagonal length","Only the area of one rectangular face","The total area of the two end faces and the lateral faces","D","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_009","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","The total area of the two end faces and the lateral faces","Only the volume of the prism","Only one diagonal length","Only the area of one rectangular face","A","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_010","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Medium","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","The total area of the two end faces and the lateral faces","Only one diagonal length","Only the area of one rectangular face","B","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
"QB_A05_T03_S02_011","A05","Measurement","A05_T03","Surface Area","A05_T03_S02","Surface area of a triangular/trapezoidal prism","5.3.2","Hard","MCQ","Which quantity is needed, in addition to the prism length, to find the surface area of a prism?","Only the volume of the prism","Only one diagonal length","The total area of the two end faces and the lateral faces","Only the area of one rectangular face","C","Surface area requires the total area of every outside face.","measurement;surface;area;triangular;trapezoidal;prism;surface-area","approved_hierarchy_v1"
