"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S07_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(7+4\sqrt{3}\)","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","A","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","B","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(7+4\sqrt{3}\)","\(1+4\sqrt{3}\)","C","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","\(7+4\sqrt{3}\)","D","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(7+4\sqrt{3}\)","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","A","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","B","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(7+4\sqrt{3}\)","\(1+4\sqrt{3}\)","C","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","\(7+4\sqrt{3}\)","D","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(7+4\sqrt{3}\)","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","A","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Medium","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","B","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_011","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Hard","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(7+4\sqrt{3}\)","\(1+4\sqrt{3}\)","C","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_012","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Hard","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","\(7+4\sqrt{3}\)","D","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_013","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Hard","MCQ","Expand \((\sqrt{3}+2)^2\).","\(7+4\sqrt{3}\)","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","A","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_014","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Hard","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(1+4\sqrt{3}\)","B","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
"QB_A04_T01_S07_015","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S07","Binomial expansions","4.1.7","Hard","MCQ","Expand \((\sqrt{3}+2)^2\).","\(3+4\sqrt{3}\)","\(7+2\sqrt{3}\)","\(7+4\sqrt{3}\)","\(1+4\sqrt{3}\)","C","Use \((a+b)^2=a^2+2ab+b^2\).","numbers;surds;binomial;expansions","approved_hierarchy_v1"
