"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T02_S05_001","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_002","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_003","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_004","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_005","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_006","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_007","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_008","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_009","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_010","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Medium","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_011","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_012","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_013","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_014","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_015","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_016","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_017","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_018","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_019","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_020","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_021","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_022","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_023","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_024","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Hard","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_025","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_026","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_027","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","Which congruence test is established by two angles and the included side?","SAS","SSS","ASA","RHS","C","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_028","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","ASA","SSS","RHS","D","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_029","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","Which congruence test is established by two angles and the included side?","ASA","SAS","SSS","RHS","A","Two angles and the included side establish congruence by ASA.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
"QB_A02_T02_S05_030","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S05","Congruent triangles, Test 3 and 4","2.2.5","Advanced","MCQ","For right-angled triangles, which test uses the hypotenuse and one corresponding side?","SAS","RHS","ASA","SSS","B","Right-angled triangles are congruent by RHS when the hypotenuse and one other corresponding side are equal.","geometry;triangles;congruence;congruent;test;3;4","approved_hierarchy_v1"
