"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S05_001","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","A","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_002","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","B","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_003","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the intersection of the altitudes","At the centre of the incircle","C","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_004","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","At the intersection of the medians","D","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_005","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","A","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_006","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the incircle","B","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_007","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the intersection of the medians","At the centre of the circumcircle only","C","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_008","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","At the intersection of the altitudes","D","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_009","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the centroid of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","A","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_010","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Medium","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the incircle","B","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
