"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T03_S02_001","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(3, 4, 5\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_002","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(5, 12, 13\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_003","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 15, 17\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_004","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(7, 24, 25\)","D","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_005","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(9, 40, 41\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_006","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(3, 4, 5\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_007","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(5, 12, 13\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_008","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(8, 15, 17\)","D","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_009","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(7, 24, 25\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_010","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Medium","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(9, 40, 41\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_011","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(3, 4, 5\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_012","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(5, 12, 13\)","D","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_013","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(8, 15, 17\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_014","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(7, 24, 25\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_015","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(9, 40, 41\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_016","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(3, 4, 5\)","D","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_017","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(5, 12, 13\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_018","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(8, 15, 17\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_019","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(7, 24, 25\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_020","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(9, 40, 41\)","D","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_021","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(3, 4, 5\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_022","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(5, 12, 13\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_023","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 15, 17\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_024","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Hard","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(7, 24, 25\)","D","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_025","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(9, 40, 41\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_026","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(3, 4, 5\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(3^2 + 4^2 = 5^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_027","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(5, 12, 13\)","\(8, 10, 12\)","C","In a Pythagorean triple, \(5^2 + 12^2 = 13^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_028","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","\(8, 15, 17\)","D","In a Pythagorean triple, \(8^2 + 15^2 = 17^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_029","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(7, 24, 25\)","\(4, 5, 6\)","\(6, 8, 11\)","\(8, 10, 12\)","A","In a Pythagorean triple, \(7^2 + 24^2 = 25^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
"QB_A02_T03_S02_030","A02","Geometry","A02_T03","Pythagoras","A02_T03_S02","Pythagorean triples","2.3.2","Advanced","MCQ","Which set of lengths forms a Pythagorean triple?","\(4, 5, 6\)","\(9, 40, 41\)","\(6, 8, 11\)","\(8, 10, 12\)","B","In a Pythagorean triple, \(9^2 + 40^2 = 41^2\).","geometry;pythagoras;pythagorean;triples","approved_hierarchy_v1"
