"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S03_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(3\) units when it runs \(2\) units to the right. What is its gradient?","\(\frac{3}{2}\)","\(\frac{2}{3}\)","\(5\)","\(1\)","A","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(4\) units when it runs \(3\) units to the right. What is its gradient?","\(\frac{3}{4}\)","\(\frac{4}{3}\)","\(7\)","\(1\)","B","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(5\) units when it runs \(4\) units to the right. What is its gradient?","\(\frac{4}{5}\)","\(9\)","\(\frac{5}{4}\)","\(1\)","C","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(6\) units when it runs \(5\) units to the right. What is its gradient?","\(\frac{5}{6}\)","\(11\)","\(1\)","\(\frac{6}{5}\)","D","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(3\) units when it runs \(6\) units to the right. What is its gradient?","\(\frac{3}{6}\)","\(\frac{6}{3}\)","\(9\)","\(-3\)","A","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(4\) units when it runs \(2\) units to the right. What is its gradient?","\(\frac{2}{4}\)","\(\frac{4}{2}\)","\(6\)","\(2\)","B","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(5\) units when it runs \(3\) units to the right. What is its gradient?","\(\frac{3}{5}\)","\(8\)","\(\frac{5}{3}\)","\(2\)","C","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(6\) units when it runs \(4\) units to the right. What is its gradient?","\(\frac{4}{6}\)","\(10\)","\(2\)","\(\frac{6}{4}\)","D","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(3\) units when it runs \(5\) units to the right. What is its gradient?","\(\frac{3}{5}\)","\(\frac{5}{3}\)","\(8\)","\(-2\)","A","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Medium","MCQ","A line rises by \(4\) units when it runs \(6\) units to the right. What is its gradient?","\(\frac{6}{4}\)","\(\frac{4}{6}\)","\(10\)","\(-2\)","B","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_011","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(5\) units when it runs \(2\) units to the right. What is its gradient?","\(\frac{2}{5}\)","\(7\)","\(\frac{5}{2}\)","\(3\)","C","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_012","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(6\) units when it runs \(3\) units to the right. What is its gradient?","\(\frac{3}{6}\)","\(9\)","\(3\)","\(\frac{6}{3}\)","D","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_013","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(3\) units when it runs \(4\) units to the right. What is its gradient?","\(\frac{3}{4}\)","\(\frac{4}{3}\)","\(7\)","\(-1\)","A","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_014","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(4\) units when it runs \(5\) units to the right. What is its gradient?","\(\frac{5}{4}\)","\(\frac{4}{5}\)","\(9\)","\(-1\)","B","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_015","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(5\) units when it runs \(6\) units to the right. What is its gradient?","\(\frac{6}{5}\)","\(11\)","\(\frac{5}{6}\)","\(-1\)","C","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
"QB_A02_T04_S03_016","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S03","Gradient","2.4.3","Hard","MCQ","A line rises by \(6\) units when it runs \(2\) units to the right. What is its gradient?","\(\frac{2}{6}\)","\(8\)","\(4\)","\(\frac{6}{2}\)","D","Gradient is rise over run.","geometry;coordinate;gradient","approved_hierarchy_v1"
