"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T03_S03_001","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(5\) and \(12\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{169}\)","\(17\)","\(\sqrt{119}\)","\(60\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_002","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(6\) and \(13\). Which expression gives the exact length of the hypotenuse?","\(19\)","\(\sqrt{205}\)","\(\sqrt{133}\)","\(78\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_003","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(7\) and \(14\). Which expression gives the exact length of the hypotenuse?","\(21\)","\(\sqrt{147}\)","\(\sqrt{245}\)","\(98\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_004","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(8\) and \(15\). Which expression gives the exact length of the hypotenuse?","\(23\)","\(\sqrt{161}\)","\(120\)","\(\sqrt{289}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_005","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(9\) and \(16\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{337}\)","\(25\)","\(\sqrt{175}\)","\(144\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_006","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(10\) and \(17\). Which expression gives the exact length of the hypotenuse?","\(27\)","\(\sqrt{389}\)","\(\sqrt{189}\)","\(170\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_007","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(11\) and \(18\). Which expression gives the exact length of the hypotenuse?","\(29\)","\(\sqrt{203}\)","\(\sqrt{445}\)","\(198\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_008","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(12\) and \(12\). Which expression gives the exact length of the hypotenuse?","\(24\)","\(\sqrt{0}\)","\(144\)","\(\sqrt{288}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_009","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(5\) and \(13\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{194}\)","\(18\)","\(\sqrt{144}\)","\(65\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_010","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Medium","MCQ","A right-angled triangle has legs \(6\) and \(14\). Which expression gives the exact length of the hypotenuse?","\(20\)","\(\sqrt{232}\)","\(\sqrt{160}\)","\(84\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_011","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(7\) and \(15\). Which expression gives the exact length of the hypotenuse?","\(22\)","\(\sqrt{176}\)","\(\sqrt{274}\)","\(105\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_012","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(8\) and \(16\). Which expression gives the exact length of the hypotenuse?","\(24\)","\(\sqrt{192}\)","\(128\)","\(\sqrt{320}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_013","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(9\) and \(17\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{370}\)","\(26\)","\(\sqrt{208}\)","\(153\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_014","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(10\) and \(18\). Which expression gives the exact length of the hypotenuse?","\(28\)","\(\sqrt{424}\)","\(\sqrt{224}\)","\(180\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_015","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(11\) and \(12\). Which expression gives the exact length of the hypotenuse?","\(23\)","\(\sqrt{23}\)","\(\sqrt{265}\)","\(132\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_016","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(12\) and \(13\). Which expression gives the exact length of the hypotenuse?","\(25\)","\(\sqrt{25}\)","\(156\)","\(\sqrt{313}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_017","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(5\) and \(14\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{221}\)","\(19\)","\(\sqrt{171}\)","\(70\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
