"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T02_S03_001","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","An isosceles triangle has one angle of \(30^\circ\) at the vertex between the equal sides. What is each base angle?","\(75^\circ\)","\(150^\circ\)","\(30^\circ\)","\(85^\circ\)","A","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_002","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(60^\circ\)","\(90^\circ\)","\(120^\circ\)","B","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_003","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The altitude","The hypotenuse","The bisector","C","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_004","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","An isosceles triangle has one angle of \(39^\circ\) at the vertex between the equal sides. What is each base angle?","\(141^\circ\)","\(39^\circ\)","\(80^\circ\)","\(70^\circ\)","D","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_005","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","What is the measure of each angle in an equilateral triangle?","\(60^\circ\)","\(45^\circ\)","\(90^\circ\)","\(120^\circ\)","A","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_006","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The hypotenuse","The altitude","The bisector","B","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_007","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","An isosceles triangle has one angle of \(48^\circ\) at the vertex between the equal sides. What is each base angle?","\(132^\circ\)","\(48^\circ\)","\(66^\circ\)","\(76^\circ\)","C","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_008","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(90^\circ\)","\(120^\circ\)","\(60^\circ\)","D","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_009","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","Which side is opposite the right angle in a right-angled triangle?","The hypotenuse","The median","The altitude","The bisector","A","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_010","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Medium","MCQ","An isosceles triangle has one angle of \(57^\circ\) at the vertex between the equal sides. What is each base angle?","\(123^\circ\)","\(61^\circ\)","\(57^\circ\)","\(71^\circ\)","B","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_011","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(90^\circ\)","\(60^\circ\)","\(120^\circ\)","C","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_012","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The altitude","The bisector","The hypotenuse","D","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_013","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","An isosceles triangle has one angle of \(36^\circ\) at the vertex between the equal sides. What is each base angle?","\(72^\circ\)","\(144^\circ\)","\(36^\circ\)","\(82^\circ\)","A","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_014","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(60^\circ\)","\(90^\circ\)","\(120^\circ\)","B","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_015","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The altitude","The hypotenuse","The bisector","C","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_016","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","An isosceles triangle has one angle of \(45^\circ\) at the vertex between the equal sides. What is each base angle?","\(135^\circ\)","\(45^\circ\)","\(77^\circ\)","\(67^\circ\)","D","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_017","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","What is the measure of each angle in an equilateral triangle?","\(60^\circ\)","\(45^\circ\)","\(90^\circ\)","\(120^\circ\)","A","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_018","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The hypotenuse","The altitude","The bisector","B","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_019","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","An isosceles triangle has one angle of \(54^\circ\) at the vertex between the equal sides. What is each base angle?","\(126^\circ\)","\(54^\circ\)","\(63^\circ\)","\(73^\circ\)","C","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_020","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(90^\circ\)","\(120^\circ\)","\(60^\circ\)","D","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_021","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","Which side is opposite the right angle in a right-angled triangle?","The hypotenuse","The median","The altitude","The bisector","A","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_022","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","An isosceles triangle has one angle of \(33^\circ\) at the vertex between the equal sides. What is each base angle?","\(147^\circ\)","\(73^\circ\)","\(33^\circ\)","\(83^\circ\)","B","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_023","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(90^\circ\)","\(60^\circ\)","\(120^\circ\)","C","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_024","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Hard","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The altitude","The bisector","The hypotenuse","D","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_025","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","An isosceles triangle has one angle of \(42^\circ\) at the vertex between the equal sides. What is each base angle?","\(69^\circ\)","\(138^\circ\)","\(42^\circ\)","\(79^\circ\)","A","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_026","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","What is the measure of each angle in an equilateral triangle?","\(45^\circ\)","\(60^\circ\)","\(90^\circ\)","\(120^\circ\)","B","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_027","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The altitude","The hypotenuse","The bisector","C","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_028","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","An isosceles triangle has one angle of \(51^\circ\) at the vertex between the equal sides. What is each base angle?","\(129^\circ\)","\(51^\circ\)","\(74^\circ\)","\(64^\circ\)","D","The two base angles of an isosceles triangle are equal and together sum to \(180^\circ - {base}^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_029","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","What is the measure of each angle in an equilateral triangle?","\(60^\circ\)","\(45^\circ\)","\(90^\circ\)","\(120^\circ\)","A","All three angles in an equilateral triangle are equal and sum to \(180^\circ\).","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
"QB_A02_T02_S03_030","A02","Geometry","A02_T02","Triangles & Congruence","A02_T02_S03","Special triangles","2.2.3","Advanced","MCQ","Which side is opposite the right angle in a right-angled triangle?","The median","The hypotenuse","The altitude","The bisector","B","The side opposite the right angle is called the hypotenuse.","geometry;triangles;congruence;special;special-triangles","approved_hierarchy_v1"
