"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T04_S08_001","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=3x-4\), what is the gradient?","\(3\)","\(-4\)","\(-1\)","\(-3\)","A","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_002","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=4x-3\), what is the gradient?","\(-3\)","\(4\)","\(1\)","\(-4\)","B","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_003","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=5x-2\), what is the gradient?","\(-2\)","\(3\)","\(5\)","\(-5\)","C","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_004","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=6x-1\), what is the gradient?","\(-1\)","\(5\)","\(-6\)","\(6\)","D","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_005","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=3x+0\), what is the gradient?","\(3\)","\(0\)","\(3\) ","\(-3\)","A","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_006","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=4x+1\), what is the gradient?","\(1\)","\(4\)","\(5\)","\(-4\)","B","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_007","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=5x+2\), what is the gradient?","\(2\)","\(7\)","\(5\)","\(-5\)","C","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_008","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=6x+3\), what is the gradient?","\(3\)","\(9\)","\(-6\)","\(6\)","D","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_009","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=3x+4\), what is the gradient?","\(3\)","\(4\)","\(7\)","\(-3\)","A","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_010","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Medium","MCQ","In the equation \(y=4x-4\), what is the gradient?","\(-4\)","\(4\)","\(0\)","\(-4\) ","B","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_011","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=5x-3\), what is the gradient?","\(-3\)","\(2\)","\(5\)","\(-5\)","C","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_012","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=6x-2\), what is the gradient?","\(-2\)","\(4\)","\(-6\)","\(6\)","D","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_013","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=3x-1\), what is the gradient?","\(3\)","\(-1\)","\(2\)","\(-3\)","A","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_014","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=4x+0\), what is the gradient?","\(0\)","\(4\)","\(4\) ","\(-4\)","B","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_015","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=5x+1\), what is the gradient?","\(1\)","\(6\)","\(5\)","\(-5\)","C","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_016","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=6x+2\), what is the gradient?","\(2\)","\(8\)","\(-6\)","\(6\)","D","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_017","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=3x+3\), what is the gradient?","\(3\)","\(3\) ","\(6\)","\(-3\)","A","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
"QB_A02_T04_S08_018","A02","Geometry","A02_T04","Coordinate Geometry","A02_T04_S08","Slope intercept form of a line","2.4.8","Hard","MCQ","In the equation \(y=4x+4\), what is the gradient?","\(4\) ","\(4\)","\(8\)","\(-4\)","B","In \(y=mx+c\), the coefficient of \(x\) is the gradient.","geometry;coordinate;slope;intercept;form;line;slope-intercept","approved_hierarchy_v1"
