"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S06_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{1}(\sqrt{2}+2)\).","\(\sqrt{2}+2\sqrt{1}\)","\(\sqrt{3}+2\)","\(\sqrt{2}+2\)","\(3\sqrt{2}\)","A","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{2}(\sqrt{3}+2)\).","\(\sqrt{5}+2\)","\(\sqrt{6}+2\sqrt{2}\)","\(\sqrt{6}+2\)","\(5\sqrt{2}\)","B","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{3}(\sqrt{4}+2)\).","\(\sqrt{7}+2\)","\(\sqrt{12}+2\)","\(\sqrt{12}+2\sqrt{3}\)","\(7\sqrt{2}\)","C","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{4}(\sqrt{5}+2)\).","\(\sqrt{9}+2\)","\(\sqrt{20}+2\)","\(9\sqrt{2}\)","\(\sqrt{20}+2\sqrt{4}\)","D","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{1}(\sqrt{2}+2)\).","\(\sqrt{2}+2\sqrt{1}\)","\(\sqrt{3}+2\)","\(\sqrt{2}+2\)","\(3\sqrt{2}\)","A","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{2}(\sqrt{3}+2)\).","\(\sqrt{5}+2\)","\(\sqrt{6}+2\sqrt{2}\)","\(\sqrt{6}+2\)","\(5\sqrt{2}\)","B","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{3}(\sqrt{4}+2)\).","\(\sqrt{7}+2\)","\(\sqrt{12}+2\)","\(\sqrt{12}+2\sqrt{3}\)","\(7\sqrt{2}\)","C","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{4}(\sqrt{5}+2)\).","\(\sqrt{9}+2\)","\(\sqrt{20}+2\)","\(9\sqrt{2}\)","\(\sqrt{20}+2\sqrt{4}\)","D","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{1}(\sqrt{2}+2)\).","\(\sqrt{2}+2\sqrt{1}\)","\(\sqrt{3}+2\)","\(\sqrt{2}+2\)","\(3\sqrt{2}\)","A","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Medium","MCQ","Expand \(\sqrt{2}(\sqrt{3}+2)\).","\(\sqrt{5}+2\)","\(\sqrt{6}+2\sqrt{2}\)","\(\sqrt{6}+2\)","\(5\sqrt{2}\)","B","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
"QB_A04_T01_S06_011","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S06","Expanding surds","4.1.6","Hard","MCQ","Expand \(\sqrt{3}(\sqrt{4}+2)\).","\(\sqrt{7}+2\)","\(\sqrt{12}+2\)","\(\sqrt{12}+2\sqrt{3}\)","\(7\sqrt{2}\)","C","Distribute the factor and use \(\sqrt{a}\sqrt{b}=\sqrt{ab}\).","numbers;surds;expanding;expansion","approved_hierarchy_v1"
