"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T01_S04_001","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 2 = 2x - 3\).","\(5\)","\(2\)","\(3\)","\(6\)","A","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_002","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 3 = 2x - 4\).","\(3\)","\(7\)","\(4\)","\(8\)","B","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_003","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 4 = 2x - 5\).","\(4\)","\(5\)","\(9\)","\(10\)","C","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_004","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 5 = 2x - 6\).","\(5\)","\(6\)","\(12\)","\(11\)","D","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_005","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 6 = 2x - 3\).","\(9\)","\(6\)","\(3\)","\(10\)","A","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_006","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 2 = 2x - 4\).","\(2\)","\(6\)","\(4\)","\(7\)","B","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_007","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 3 = 2x - 5\).","\(3\)","\(5\)","\(8\)","\(9\)","C","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_008","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 4 = 2x - 6\).","\(4\)","\(6\)","\(11\)","\(10\)","D","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_009","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 5 = 2x - 3\).","\(8\)","\(5\)","\(3\)","\(9\)","A","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
"QB_A03_T01_S04_010","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S04","Solving equations containing binomial expressions","3.1.4","Medium","MCQ","Solve \(x + 6 = 2x - 4\).","\(6\)","\(10\)","\(4\)","\(11\)","B","Collect the variable terms on one side and the constants on the other.","algebra;algebraic;equations;solving;containing;binomial;expressions;equation","approved_hierarchy_v1"
