"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S04_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(2\sqrt{2}\) as an entire surd.","\(\sqrt{8}\)","\(\sqrt{4}\)","\(4\)","\(\sqrt{6}\)","A","Move the coefficient inside by squaring it: \(2\sqrt{2}=\sqrt{8}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(3\sqrt{3}\) as an entire surd.","\(\sqrt{9}\)","\(\sqrt{27}\)","\(9\)","\(\sqrt{12}\)","B","Move the coefficient inside by squaring it: \(3\sqrt{3}=\sqrt{27}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(4\sqrt{4}\) as an entire surd.","\(\sqrt{16}\)","\(16\)","\(\sqrt{64}\)","\(\sqrt{20}\)","C","Move the coefficient inside by squaring it: \(4\sqrt{4}=\sqrt{64}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(5\sqrt{5}\) as an entire surd.","\(\sqrt{25}\)","\(25\)","\(\sqrt{30}\)","\(\sqrt{125}\)","D","Move the coefficient inside by squaring it: \(5\sqrt{5}=\sqrt{125}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(6\sqrt{2}\) as an entire surd.","\(\sqrt{72}\)","\(\sqrt{12}\)","\(12\)","\(\sqrt{38}\)","A","Move the coefficient inside by squaring it: \(6\sqrt{2}=\sqrt{72}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(2\sqrt{3}\) as an entire surd.","\(\sqrt{6}\)","\(\sqrt{12}\)","\(6\)","\(\sqrt{7}\)","B","Move the coefficient inside by squaring it: \(2\sqrt{3}=\sqrt{12}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(3\sqrt{4}\) as an entire surd.","\(\sqrt{12}\)","\(12\)","\(\sqrt{36}\)","\(\sqrt{13}\)","C","Move the coefficient inside by squaring it: \(3\sqrt{4}=\sqrt{36}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(4\sqrt{5}\) as an entire surd.","\(\sqrt{20}\)","\(20\)","\(\sqrt{21}\)","\(\sqrt{80}\)","D","Move the coefficient inside by squaring it: \(4\sqrt{5}=\sqrt{80}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(5\sqrt{2}\) as an entire surd.","\(\sqrt{50}\)","\(\sqrt{10}\)","\(10\)","\(\sqrt{27}\)","A","Move the coefficient inside by squaring it: \(5\sqrt{2}=\sqrt{50}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Medium","MCQ","Write \(6\sqrt{3}\) as an entire surd.","\(\sqrt{18}\)","\(\sqrt{108}\)","\(18\)","\(\sqrt{39}\)","B","Move the coefficient inside by squaring it: \(6\sqrt{3}=\sqrt{108}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_011","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(2\sqrt{4}\) as an entire surd.","\(\sqrt{8}\)","\(8\)","\(\sqrt{16}\)","\(\sqrt{8}\) ","C","Move the coefficient inside by squaring it: \(2\sqrt{4}=\sqrt{16}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_012","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(3\sqrt{5}\) as an entire surd.","\(\sqrt{15}\)","\(15\)","\(\sqrt{14}\)","\(\sqrt{45}\)","D","Move the coefficient inside by squaring it: \(3\sqrt{5}=\sqrt{45}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_013","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(4\sqrt{2}\) as an entire surd.","\(\sqrt{32}\)","\(\sqrt{8}\)","\(8\)","\(\sqrt{18}\)","A","Move the coefficient inside by squaring it: \(4\sqrt{2}=\sqrt{32}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_014","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(5\sqrt{3}\) as an entire surd.","\(\sqrt{15}\)","\(\sqrt{75}\)","\(15\)","\(\sqrt{28}\)","B","Move the coefficient inside by squaring it: \(5\sqrt{3}=\sqrt{75}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_015","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(6\sqrt{4}\) as an entire surd.","\(\sqrt{24}\)","\(24\)","\(\sqrt{144}\)","\(\sqrt{40}\)","C","Move the coefficient inside by squaring it: \(6\sqrt{4}=\sqrt{144}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_016","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(2\sqrt{5}\) as an entire surd.","\(\sqrt{10}\)","\(10\)","\(\sqrt{9}\)","\(\sqrt{20}\)","D","Move the coefficient inside by squaring it: \(2\sqrt{5}=\sqrt{20}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_017","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(3\sqrt{2}\) as an entire surd.","\(\sqrt{18}\)","\(\sqrt{6}\)","\(6\)","\(\sqrt{11}\)","A","Move the coefficient inside by squaring it: \(3\sqrt{2}=\sqrt{18}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_018","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(4\sqrt{3}\) as an entire surd.","\(\sqrt{12}\)","\(\sqrt{48}\)","\(12\)","\(\sqrt{19}\)","B","Move the coefficient inside by squaring it: \(4\sqrt{3}=\sqrt{48}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_019","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(5\sqrt{4}\) as an entire surd.","\(\sqrt{20}\)","\(20\)","\(\sqrt{100}\)","\(\sqrt{29}\)","C","Move the coefficient inside by squaring it: \(5\sqrt{4}=\sqrt{100}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_020","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(6\sqrt{5}\) as an entire surd.","\(\sqrt{30}\)","\(30\)","\(\sqrt{41}\)","\(\sqrt{180}\)","D","Move the coefficient inside by squaring it: \(6\sqrt{5}=\sqrt{180}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_021","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(2\sqrt{2}\) as an entire surd.","\(\sqrt{8}\)","\(\sqrt{4}\)","\(4\)","\(\sqrt{6}\)","A","Move the coefficient inside by squaring it: \(2\sqrt{2}=\sqrt{8}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_022","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(3\sqrt{3}\) as an entire surd.","\(\sqrt{9}\)","\(\sqrt{27}\)","\(9\)","\(\sqrt{12}\)","B","Move the coefficient inside by squaring it: \(3\sqrt{3}=\sqrt{27}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_023","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(4\sqrt{4}\) as an entire surd.","\(\sqrt{16}\)","\(16\)","\(\sqrt{64}\)","\(\sqrt{20}\)","C","Move the coefficient inside by squaring it: \(4\sqrt{4}=\sqrt{64}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_024","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Hard","MCQ","Write \(5\sqrt{5}\) as an entire surd.","\(\sqrt{25}\)","\(25\)","\(\sqrt{30}\)","\(\sqrt{125}\)","D","Move the coefficient inside by squaring it: \(5\sqrt{5}=\sqrt{125}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
"QB_A04_T01_S04_025","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S04","Creating entire surds","4.1.4","Advanced","MCQ","Write \(6\sqrt{2}\) as an entire surd.","\(\sqrt{72}\)","\(\sqrt{12}\)","\(12\)","\(\sqrt{38}\)","A","Move the coefficient inside by squaring it: \(6\sqrt{2}=\sqrt{72}\).","numbers;surds;creating;entire;entire-surd","approved_hierarchy_v1"
