"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A03_T01_S01_001","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x + 5 = 8\).","\(3\)","\(4\)","\(2\)","\(5\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_002","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x - 6 = -2\).","\(5\)","\(4\)","\(3\)","\(6\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_003","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x + 7 = 12\).","\(6\)","\(4\)","\(5\)","\(7\)","C","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_004","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x - 8 = -2\).","\(7\)","\(5\)","\(8\)","\(6\)","D","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_005","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x + 9 = 16\).","\(7\)","\(8\)","\(6\)","\(9\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_006","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x - 10 = -2\).","\(9\)","\(8\)","\(7\)","\(10\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_007","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x + 11 = 20\).","\(10\)","\(8\)","\(9\)","\(11\)","C","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_008","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x - 12 = -2\).","\(11\)","\(9\)","\(12\)","\(10\)","D","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_009","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x + 13 = 24\).","\(11\)","\(12\)","\(10\)","\(13\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_010","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Medium","MCQ","Solve \(x - 5 = 7\).","\(13\)","\(12\)","\(11\)","\(14\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_011","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 6 = 19\).","\(14\)","\(12\)","\(13\)","\(15\)","C","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_012","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 7 = 7\).","\(15\)","\(13\)","\(16\)","\(14\)","D","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_013","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 8 = 11\).","\(3\)","\(4\)","\(2\)","\(5\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_014","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 9 = -5\).","\(5\)","\(4\)","\(3\)","\(6\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_015","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 10 = 15\).","\(6\)","\(4\)","\(5\)","\(7\)","C","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_016","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 11 = -5\).","\(7\)","\(5\)","\(8\)","\(6\)","D","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_017","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 12 = 19\).","\(7\)","\(8\)","\(6\)","\(9\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_018","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 13 = -5\).","\(9\)","\(8\)","\(7\)","\(10\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_019","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 5 = 14\).","\(10\)","\(8\)","\(9\)","\(11\)","C","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_020","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 6 = 4\).","\(11\)","\(9\)","\(12\)","\(10\)","D","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_021","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x + 7 = 18\).","\(11\)","\(12\)","\(10\)","\(13\)","A","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
"QB_A03_T01_S01_022","A03","Algebra","A03_T01","Algebraic Equations","A03_T01_S01","Solving equations containing addition and subtraction","3.1.1","Hard","MCQ","Solve \(x - 8 = 4\).","\(13\)","\(12\)","\(11\)","\(14\)","B","Undo the addition or subtraction to isolate \(x\).","algebra;algebraic;equations;solving;containing;addition;subtraction;equation;linear","approved_hierarchy_v1"
