"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T06_S07_001","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which statement best matches the idea of The angle at the centre of a circle is double the angle at the circumference standing on the same arc?","The angle at the centre of a circle is double the angle at the circumference standing on the same arc","A statement unrelated to the angle at the centre of a circle is double the angle at the circumference standing on the same arc","A numerical shortcut with no proof condition","A property that applies only to a different topic","A","The correct option restates the central idea of the angle at the centre of a circle is double the angle at the circumference standing on the same arc.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_002","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","A student wants to apply the angle at the centre of a circle is double the angle at the circumference standing on the same arc. What is the most reliable first step?","Assume the statement works in reverse without checking","Identify the exact condition required by the statement before drawing a conclusion","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","B","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_003","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which option shows a valid use of the angle at the centre of a circle is double the angle at the circumference standing on the same arc?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Use the stated condition and then apply the angle at the centre of a circle is double the angle at the circumference standing on the same arc to justify the conclusion","Ignore the named feature and use an unrelated formula","C","A valid use of the angle at the centre of a circle is double the angle at the circumference standing on the same arc must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_004","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","When solving a problem involving the angle at the centre of a circle is double the angle at the circumference standing on the same arc, which error is most serious?","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","Using the result without first checking that the required condition is true","D","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_005","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which description best explains why the angle at the centre of a circle is double the angle at the circumference standing on the same arc is useful in geometric reasoning?","It turns a verified condition into a justified conclusion","It removes the need for any diagram labels","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","A","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_006","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which statement best matches the idea of The angle at the centre of a circle is double the angle at the circumference standing on the same arc?","A statement unrelated to the angle at the centre of a circle is double the angle at the circumference standing on the same arc","The angle at the centre of a circle is double the angle at the circumference standing on the same arc","A numerical shortcut with no proof condition","A property that applies only to a different topic","B","The correct option restates the central idea of the angle at the centre of a circle is double the angle at the circumference standing on the same arc.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_007","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","A student wants to apply the angle at the centre of a circle is double the angle at the circumference standing on the same arc. What is the most reliable first step?","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Identify the exact condition required by the statement before drawing a conclusion","Ignore whether the objects satisfy the given conditions","C","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_008","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which option shows a valid use of the angle at the centre of a circle is double the angle at the circumference standing on the same arc?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","Use the stated condition and then apply the angle at the centre of a circle is double the angle at the circumference standing on the same arc to justify the conclusion","D","A valid use of the angle at the centre of a circle is double the angle at the circumference standing on the same arc must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_009","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","When solving a problem involving the angle at the centre of a circle is double the angle at the circumference standing on the same arc, which error is most serious?","Using the result without first checking that the required condition is true","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","A","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S07_010","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S07","Theorem - The angle at the centre of a circle is double the angle at the circumference standing on the same arc","2.6.7","Medium","MCQ","Which description best explains why the angle at the centre of a circle is double the angle at the circumference standing on the same arc is useful in geometric reasoning?","It removes the need for any diagram labels","It turns a verified condition into a justified conclusion","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","B","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;at;centre;is;conceptual;reasoning","approved_hierarchy_v1"
